Player,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate
AC Gilchrist (AUS),2005-2008,2005,2008,3,13,13,17,17,0,17,0,4 (4ct 0st),1.307,1.31,1.31,0.00
DPMD Jayawardene (SL),2006-2014,2006,2014,8,55,55,17,17,0,0,17,2 (2ct 0st),0.309,0.31,0.31,0.00
CK Kapugedera (SL),2006-2017,2006,2017,11,43,43,17,17,0,0,17,3 (3ct 0st),0.395,0.40,0.40,0.00
KMDN Kulasekara (SL),2008-2017,2008,2017,9,58,58,17,17,0,0,17,2 (2ct 0st),0.293,0.29,0.29,0.00
JA Morkel (SA),2005-2015,2005,2015,10,50,50,17,17,0,0,17,2 (2ct 0st),0.34,0.34,0.34,0.00
MDKJ Perera (SL),2013-2019,2013,2019,6,42,42,17,13,4,7,6,3 (2ct 1st),0.404,0.31,0.40,0.10
Sikandar Raza (ZIM),2013-2019,2013,2019,6,32,32,17,17,0,0,17,2 (2ct 0st),0.531,0.53,0.53,0.00
BDH Stevens (JER),2019-2019,2019,2019,0,17,17,17,17,0,0,17,3 (3ct 0st),1,1.00,1.00,0.00
Sultan Ahmed (OMAN),2015-2017,2015,2017,2,17,16,17,14,3,14,0,3 (3ct 0st),1.062,0.82,1.00,0.18
Babar Hayat (HKG),2014-2017,2014,2017,3,24,24,16,16,0,0,16,4 (4ct 0st),0.666,0.67,0.67,0.00
SW Billings (ENG/ICC),2015-2019,2015,2019,4,26,26,16,15,1,4,11,3 (2ct 1st),0.615,0.58,0.62,0.04
K Doriga (PNG),2019-2019,2019,2019,0,17,17,16,15,1,15,0,5 (5ct 0st),0.941,0.88,0.94,0.06
Hamza Tariq (CAN),2013-2019,2013,2019,6,15,15,16,12,4,12,0,3 (3ct 0st),1.066,0.80,1.07,0.27
JW Jenner (JER),2019-2019,2019,2019,0,17,17,16,16,0,0,16,4 (4ct 0st),0.941,0.94,0.94,0.00
P Khadka (NEPAL),2014-2019,2014,2019,5,30,30,16,16,0,0,16,3 (3ct 0st),0.533,0.53,0.53,0.00
Nawroz Mangal (AFG),2010-2017,2010,2017,7,32,32,16,16,0,0,16,3 (3ct 0st),0.5,0.50,0.50,0.00
AM Rahane (INDIA),2011-2016,2011,2016,5,20,20,16,16,0,0,16,4 (4ct 0st),0.8,0.80,0.80,0.00
WB Rankin (ENG/IRE),2009-2019,2009,2019,10,48,47,16,16,0,0,16,2 (2ct 0st),0.34,0.33,0.33,0.00
Rashid Khan (AFG/ICC),2015-2019,2015,2019,4,45,45,16,16,0,0,16,2 (2ct 0st),0.355,0.36,0.36,0.00
Shafiqullah (AFG),2010-2019,2010,2019,9,46,46,16,14,2,1,13,3 (3ct 0st),0.347,0.30,0.35,0.04
Ahmed Shehzad (PAK),2009-2019,2009,2019,10,59,59,15,15,0,0,15,2 (2ct 0st),0.254,0.25,0.25,0.00
Babar Azam (PAK),2016-2019,2016,2019,3,36,36,15,15,0,0,15,2 (2ct 0st),0.416,0.42,0.42,0.00
B Bhandari (NEPAL),2014-2019,2014,2019,5,27,27,15,10,5,7,3,3 (3ct 0st),0.555,0.37,0.56,0.19
PD Collingwood (ENG/World),2005-2017,2005,2017,12,36,36,15,15,0,0,15,2 (2ct 0st),0.416,0.42,0.42,0.00
CH Gayle (WI),2006-2019,2006,2019,13,58,58,15,15,0,0,15,1 (1ct 0st),0.258,0.26,0.26,0.00
Ghulam Shabber (UAE),2016-2019,2016,2019,3,17,17,15,14,1,14,0,2 (2ct 0st),0.882,0.82,0.88,0.06
ZE Green (NAM),2019-2019,2019,2019,0,16,16,15,10,5,10,0,4 (3ct 1st),0.937,0.63,0.94,0.31
Nasir Hossain (BDESH),2011-2016,2011,2016,5,31,30,15,15,0,0,15,2 (2ct 0st),0.5,0.48,0.48,0.00
SW Poynter (IRE),2015-2019,2015,2019,4,25,23,15,13,2,8,5,2 (2ct 0st),0.652,0.52,0.60,0.08
MS Wade (AUS),2011-2016,2011,2016,5,26,26,15,13,2,13,0,3 (2ct 1st),0.576,0.50,0.58,0.08
CAK Walton (WI),2014-2018,2014,2018,4,19,19,15,13,2,10,3,3 (3ct 0st),0.789,0.68,0.79,0.11
SC Williams (ZIM),2006-2019,2006,2019,13,38,38,15,15,0,0,15,2 (2ct 0st),0.394,0.39,0.39,0.00
JJ Atkinson (HKG),2014-2016,2014,2016,2,13,13,14,14,0,14,0,3 (3ct 0st),1.076,1.08,1.08,0.00
A Balbirnie (IRE),2015-2019,2015,2019,4,37,35,14,14,0,0,14,2 (2ct 0st),0.4,0.38,0.38,0.00
F Behardien (SA),2012-2018,2012,2018,6,38,38,14,14,0,0,14,2 (2ct 0st),0.368,0.37,0.37,0.00
Fakhar Zaman (PAK),2017-2019,2017,2019,2,34,34,14,14,0,0,14,2 (2ct 0st),0.411,0.41,0.41,0.00
Imad Wasim (PAK),2015-2019,2015,2019,4,41,41,14,14,0,0,14,2 (2ct 0st),0.341,0.34,0.34,0.00
IA Karim (KENYA),2013-2019,2013,2019,6,16,16,14,11,3,9,2,5 (2ct 3st),0.875,0.69,0.88,0.19
G Malla (NEPAL),2014-2019,2014,2019,5,24,24,14,14,0,0,14,3 (3ct 0st),0.583,0.58,0.58,0.00
Misbah-ul-Haq (PAK),2007-2012,2007,2012,5,39,39,14,14,0,0,14,2 (2ct 0st),0.358,0.36,0.36,0.00
MP O'Dowd (NL),2015-2019,2015,2019,4,36,35,14,14,0,0,14,2 (2ct 0st),0.4,0.39,0.39,0.00
KP Pietersen (ENG),2005-2013,2005,2013,8,37,36,14,14,0,0,14,3 (3ct 0st),0.388,0.38,0.38,0.00
MJ Santner (NZ),2015-2019,2015,2019,4,39,38,14,14,0,0,14,2 (2ct 0st),0.368,0.36,0.36,0.00
A Vala (PNG),2015-2019,2015,2019,4,26,26,14,14,0,0,14,3 (3ct 0st),0.538,0.54,0.54,0.00
J Vira (VAN),2019-2019,2019,2019,0,14,14,14,10,4,10,0,3 (3ct 0st),1,0.71,1.00,0.29
LJ Wright (ENG),2007-2014,2007,2014,7,51,50,14,14,0,0,14,2 (2ct 0st),0.28,0.27,0.27,0.00
AC Agar (AUS),2016-2019,2016,2019,3,21,21,13,13,0,0,13,2 (2ct 0st),0.619,0.62,0.62,0.00
Ahmed Raza (UAE),2014-2019,2014,2019,5,36,36,13,13,0,0,13,2 (2ct 0st),0.361,0.36,0.36,0.00
Ahsan Malik (NL),2012-2017,2012,2017,5,31,30,13,13,0,0,13,2 (2ct 0st),0.433,0.42,0.42,0.00
TC Bruce (NZ),2017-2019,2017,2019,2,15,14,13,13,0,1,12,3 (3ct 0st),0.928,0.87,0.87,0.00
MJ Clarke (AUS),2005-2010,2005,2010,5,34,34,13,13,0,0,13,2 (2ct 0st),0.382,0.38,0.38,0.00
NM Coulter-Nile (AUS),2013-2019,2013,2019,6,28,27,13,13,0,0,13,2 (2ct 0st),0.481,0.46,0.46,0.00
JEC Franklin (NZ),2006-2013,2006,2013,7,38,38,13,13,0,0,13,2 (2ct 0st),0.342,0.34,0.34,0.00
Liton Das (BDESH),2015-2019,2015,2019,4,25,25,13,13,0,0,13,2 (2ct 0st),0.52,0.52,0.52,0.00
JF Mooney (IRE),2009-2015,2009,2015,6,27,27,13,13,0,0,13,2 (2ct 0st),0.481,0.48,0.48,0.00
MA Ouma (KENYA),2007-2013,2007,2013,6,22,22,13,8,5,8,0,2 (2ct 0st),0.59,0.36,0.59,0.23
TD Paine (AUS/World),2009-2017,2009,2017,8,12,12,13,11,2,11,0,3 (3ct 0st),1.083,0.92,1.08,0.17
SP Patil (UAE),2014-2016,2014,2016,2,18,18,13,9,4,9,0,2 (2ct 0st),0.722,0.50,0.72,0.22
KL Rahul (INDIA),2016-2019,2016,2019,3,34,34,13,13,0,0,13,2 (2ct 0st),0.382,0.38,0.38,0.00
Aamir Kaleem (OMAN),2015-2019,2015,2019,4,25,24,12,12,0,0,12,2 (2ct 0st),0.5,0.48,0.48,0.00
TA Boult (NZ),2013-2019,2013,2019,6,27,27,12,12,0,0,12,3 (3ct 0st),0.444,0.44,0.44,0.00
J Charles (WI),2011-2016,2011,2016,5,34,34,12,10,2,0,10,2 (2ct 0st),0.352,0.29,0.35,0.06
JH Davey (SCOT),2012-2019,2012,2019,7,21,20,12,12,0,0,12,2 (2ct 0st),0.6,0.57,0.57,0.00
CR Ervine (ZIM),2010-2019,2010,2019,9,22,22,12,12,0,0,12,3 (3ct 0st),0.545,0.55,0.55,0.00
HG Munsey (SCOT),2015-2019,2015,2019,4,38,36,12,12,0,0,12,3 (3ct 0st),0.333,0.32,0.32,0.00
Nadeem Ahmed (HKG),2014-2017,2014,2017,3,24,24,12,12,0,0,12,2 (2ct 0st),0.5,0.50,0.50,0.00
JDP Oram (NZ),2005-2012,2005,2012,7,36,36,12,12,0,0,12,2 (2ct 0st),0.333,0.33,0.33,0.00
Saeed Ajmal (PAK),2009-2015,2009,2015,6,64,64,12,12,0,0,12,2 (2ct 0st),0.187,0.19,0.19,0.00
MN Samuels (WI),2007-2018,2007,2018,11,67,67,12,12,0,0,12,2 (2ct 0st),0.179,0.18,0.18,0.00
TL Seifert (NZ),2018-2019,2018,2019,1,19,19,12,8,4,8,0,2 (2ct 0st),0.631,0.42,0.63,0.21
V Sibanda (ZIM),2007-2016,2007,2016,9,26,26,12,12,0,0,12,3 (3ct 0st),0.461,0.46,0.46,0.00
Tamoor Sajjad (QAT),2019-2019,2019,2019,0,12,12,12,12,0,0,12,2 (2ct 0st),1,1.00,1.00,0.00
HA Varaiya (KENYA),2007-2013,2007,2013,6,25,25,12,12,0,0,12,2 (2ct 0st),0.48,0.48,0.48,0.00
DJ Willey (ENG),2015-2019,2015,2019,4,28,28,12,12,0,0,12,2 (2ct 0st),0.428,0.43,0.43,0.00
Younis Khan (PAK),2006-2010,2006,2010,4,25,25,12,12,0,0,12,2 (2ct 0st),0.48,0.48,0.48,0.00
Yuvraj Singh (INDIA),2007-2017,2007,2017,10,58,57,12,12,0,0,12,2 (2ct 0st),0.21,0.21,0.21,0.00
