Player,Span_bat,Start_Year_bat,End_Year_bat,Career_Length_bat,Mat_bat,Inns_bat,NO,Runs_bat,HS,HS_Numeric,HS_NotOut,Ave_bat,BF,SR_bat,100,50,0,Runs_Per_Match,Century_Rate,Fifty_Rate,Consistency_Score,Span_bowl,Start_Year_bowl,End_Year_bowl,Career_Length_bowl,Mat_bowl,Inns_bowl,Balls,Runs_bowl,Wkts,BBI,Ave_bowl,Econ,SR_bowl,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate,has_batting,has_bowling,player_role_hint
TBM de Leede (NL),1996-2007,1996.0,2007.0,12.0,29.0,25.0,1.0,400.0,58*,58.0,1.0,16.66,628.0,63.69,0.0,2.0,4.0,13.79,0,6.9,35.472,1996-2007,1996,2007,11,29,29,1139,999,29.0,Apr-35,34.44,5.26,39.2,1,0,1.00,0.19,0.76,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TC Bastiampillai (CAN),2007-2014,2007.0,2014.0,8.0,13.0,13.0,0.0,175.0,49,49.0,0.0,13.46,301.0,58.13,0.0,0.0,2.0,13.46,0,0,31.328,2007-2014,2007,2014,7,13,3,24,31,0.0,-,-,7.75,-,0,0,0.00,0.13,0.04,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TCB Fernando (SL),2001-2003,2001.0,2003.0,3.0,17.0,10.0,6.0,29.0,14*,14.0,1.0,7.25,59.0,49.15,0.0,0.0,1.0,1.71,0,0,24.01,2001-2003,2001,2003,2,17,17,700,586,15.0,May-67,39.06,5.02,46.6,0,1,0.88,0.20,0.68,0.059,,,,,,,,,,,,,,,,,True,True,All-rounder
TD Astle (NZ),2017-2019,2017.0,2019.0,3.0,9.0,5.0,2.0,79.0,49,49.0,0.0,26.33,77.0,102.59,0.0,0.0,0.0,8.78,0,0,56.834,2017-2019,2017,2019,2,9,8,270,246,10.0,Mar-33,24.6,5.46,27,0,0,1.11,0.18,0.83,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TD Paine (AUS),2009-2018,2009.0,2018.0,10.0,35.0,35.0,3.0,890.0,111,111.0,0.0,27.81,1257.0,70.8,1.0,5.0,1.0,25.43,2.86,14.29,45.006,2009-2018,2009,2018,9,35,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
TE Blain (NZ),1986-1994,1986.0,1994.0,9.0,38.0,38.0,11.0,442.0,49*,49.0,1.0,16.37,662.0,66.76,0.0,0.0,6.0,11.63,0,0,36.526,1986-1994,1986,1994,8,38,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
TE Jesty (ENG),1983-1983,1983.0,1983.0,1.0,10.0,10.0,4.0,127.0,52*,52.0,1.0,21.16,182.0,69.78,0.0,1.0,2.0,12.7,0,10,40.608,1983-1983,1983,1983,0,10,4,108,93,1.0,Jan-23,93,5.16,108,0,0,0.10,0.19,0.13,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TE Srinivasan (INDIA),1980-1981,1980.0,1981.0,2.0,2.0,2.0,0.0,10.0,6,6.0,0.0,5,35.0,28.57,0.0,0.0,0.0,5,0,0,14.428,1980-1981,1980,1981,1,2,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
TE Tucker (BMUDA),,,,,,,,,,,,,,,,,,,,,,2008-2009,2008,2009,1,5,5,174,157,7.0,Apr-56,22.42,5.41,24.8,1,0,1.40,0.18,1.04,0.000,,,,,,,,,,,,,,,,,False,True,Bowler
TG Gordon (CAN),2011-2011,2011.0,2011.0,1.0,5.0,5.0,0.0,27.0,9,9.0,0.0,5.4,59.0,45.76,0.0,0.0,0.0,5.4,0,0,21.544,2011-2011,2011,2011,0,5,2,15,25,0.0,-,-,10,-,0,0,0.00,0.10,0.03,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TG Hogan (AUS),1983-1984,1983.0,1984.0,2.0,16.0,12.0,4.0,72.0,27,27.0,0.0,9,95.0,75.78,0.0,0.0,1.0,4.5,0,0,35.712,1983-1984,1983,1984,1,16,15,917,574,23.0,Apr-33,24.95,3.75,39.8,1,0,1.44,0.27,1.09,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TG Shaw (SA),1991-1994,1991.0,1994.0,4.0,9.0,6.0,4.0,26.0,17*,17.0,1.0,13,35.0,74.28,0.0,0.0,1.0,2.89,0,0,37.512,1991-1994,1991,1994,3,9,9,504,298,9.0,Feb-19,33.11,3.54,56,0,0,1.00,0.28,0.78,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TG Southee (NZ),2008-2019,2008.0,2019.0,12.0,140.0,85.0,32.0,676.0,55,55.0,0.0,12.75,686.0,98.54,0.0,1.0,12.0,4.83,0,0.71,47.066,2008-2019,2008,2019,11,140,138,7021,6373,186.0,Jul-33,34.26,5.44,37.7,4,3,1.33,0.18,0.99,0.021,,,,,,,,,,,,,,,,,True,True,All-rounder
TGJ Gruijters (NL),2010-2013,2010.0,2013.0,4.0,5.0,4.0,1.0,68.0,32,32.0,0.0,22.66,116.0,58.62,0.0,0.0,0.0,13.6,0,0,37.044,2010-2013,2010,2013,3,5,4,120,79,2.0,Feb-37,39.5,3.95,60,0,0,0.40,0.25,0.36,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TJ Franklin (NZ),1983-1988,1983.0,1988.0,6.0,3.0,3.0,0.0,27.0,21,21.0,0.0,9,89.0,30.33,0.0,0.0,1.0,9,0,0,17.532,1983-1988,1983,1988,5,3,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
TJ Friend (ZIM),2000-2004,2000.0,2004.0,5.0,51.0,39.0,5.0,548.0,91,91.0,0.0,16.11,724.0,75.69,0.0,3.0,5.0,10.75,0,5.88,39.942,2000-2004,2000,2004,4,51,45,1930,1779,37.0,Apr-55,48.08,5.53,52.1,1,0,0.73,0.18,0.56,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TJ Heggelman (NL),2010-2011,2010.0,2011.0,2.0,5.0,5.0,0.0,27.0,22,22.0,0.0,5.4,85.0,31.76,0.0,0.0,0.0,5.4,0,0,15.944,2010-2011,2010,2011,1,5,3,102,86,5.0,Mar-29,17.2,5.05,20.4,0,0,1.00,0.20,0.76,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TJ Jenner (AUS),1975-1975,1975.0,1975.0,1.0,1.0,1.0,0.0,12.0,12,12.0,0.0,12,25.0,48,0.0,0.0,0.0,12,0,0,26.4,1975-1975,1975,1975,0,1,1,64,28,0.0,-,-,2.62,-,0,0,0.00,0.38,0.11,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TJ Laughlin (AUS),1978-1979,1978.0,1979.0,2.0,6.0,5.0,1.0,105.0,74,74.0,0.0,26.25,160.0,65.62,0.0,1.0,0.0,17.5,0,16.67,41.998,1978-1979,1978,1979,1,6,6,308,224,8.0,Mar-54,28,4.36,38.5,0,0,1.33,0.23,1.00,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TJ Murtagh (IRE),2012-2019,2012.0,2019.0,8.0,58.0,36.0,12.0,188.0,23*,23.0,1.0,7.83,298.0,63.08,0.0,0.0,7.0,3.24,0,0,29.93,2012-2019,2012,2019,7,58,57,3020,2290,74.0,May-21,30.94,4.54,40.8,4,1,1.28,0.22,0.96,0.017,,,,,,,,,,,,,,,,,True,True,All-rounder
TJ Zoehrer (AUS),1986-1994,1986.0,1994.0,9.0,22.0,15.0,3.0,130.0,50,50.0,0.0,10.83,183.0,71.03,0.0,1.0,2.0,5.91,0,4.55,34.91,1986-1994,1986,1994,8,22,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
TK Canning (NZ),2003-2005,2003.0,2005.0,3.0,4.0,4.0,1.0,52.0,23*,23.0,1.0,17.33,73.0,71.23,0.0,0.0,1.0,13,0,0,38.89,2003-2005,2003,2005,2,4,4,204,203,5.0,Feb-30,40.6,5.97,40.8,0,0,1.25,0.17,0.93,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TK Curran (ENG),2017-2019,2017.0,2019.0,3.0,17.0,11.0,7.0,178.0,47*,47.0,1.0,44.5,166.0,107.22,0.0,0.0,2.0,10.47,0,0,69.588,2017-2019,2017,2019,2,17,17,762,805,27.0,May-35,29.81,6.33,28.2,1,1,1.59,0.16,1.16,0.059,,,,,,,,,,,,,,,,,True,True,All-rounder
TK Musakanda (ZIM),2016-2018,2016.0,2018.0,3.0,15.0,15.0,1.0,304.0,60,60.0,0.0,21.71,382.0,79.58,0.0,1.0,1.0,20.27,0,6.67,44.858,2016-2018,2016,2018,2,15,1,12,11,0.0,-,-,5.5,-,0,0,0.00,0.18,0.05,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TK Patel (USA),2019-2019,2019.0,2019.0,1.0,5.0,5.0,3.0,55.0,50*,50.0,1.0,27.5,102.0,53.92,0.0,1.0,0.0,11,0,20,38.068,2019-2019,2019,2019,0,5,4,192,114,6.0,Feb-25,19,3.56,32,0,0,1.20,0.28,0.92,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TL Best (WI),2004-2014,2004.0,2014.0,11.0,26.0,16.0,8.0,76.0,24,24.0,0.0,9.5,125.0,60.8,0.0,0.0,1.0,2.92,0,0,30.02,2004-2014,2004,2014,10,26,26,1300,1157,34.0,Apr-35,34.02,5.34,38.2,2,0,1.31,0.19,0.97,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TL Chatara (ZIM),2013-2019,2013.0,2019.0,7.0,70.0,45.0,20.0,165.0,23,23.0,0.0,6.6,336.0,49.1,0.0,0.0,8.0,2.36,0,0,23.6,2013-2019,2013,2019,6,70,70,3431,2905,95.0,Apr-33,30.57,5.08,36.1,1,0,1.36,0.20,1.01,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TL Fernando (SL),1989-1989,1989.0,1989.0,1.0,1.0,1.0,0.0,8.0,8,8.0,0.0,8,6.0,133.33,0.0,0.0,0.0,8,0,0,58.132,1989-1989,1989,1989,0,1,1,18,16,1.0,Jan-16,16,5.33,18,0,0,1.00,0.19,0.76,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TL Seifert (NZ),2019-2019,2019.0,2019.0,1.0,3.0,2.0,0.0,33.0,22,22.0,0.0,16.5,27.0,122.22,0.0,0.0,0.0,11,0,0,58.788,2019-2019,2019,2019,0,3,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
TLW Cooper (NL),2010-2013,2010.0,2013.0,4.0,23.0,22.0,2.0,976.0,101,101.0,0.0,48.8,1391.0,70.16,1.0,8.0,0.0,42.43,4.35,34.78,57.344,2010-2013,2010,2013,3,23,19,553,438,13.0,03-Nov,33.69,4.75,42.5,0,0,0.57,0.21,0.46,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TM Alderman (AUS),1981-1991,1981.0,1991.0,11.0,65.0,18.0,6.0,32.0,9*,9.0,1.0,2.66,97.0,32.98,0.0,0.0,6.0,0.49,0,0,14.788,1981-1991,1981,1991,10,65,65,3371,2056,88.0,May-17,23.36,3.65,38.3,1,2,1.35,0.27,1.03,0.031,,,,,,,,,,,,,,,,,True,True,All-rounder
TM Chappell (AUS),1980-1983,1980.0,1983.0,4.0,20.0,13.0,0.0,229.0,110,110.0,0.0,17.61,365.0,62.73,1.0,0.0,2.0,11.45,5,0,35.658,1980-1983,1980,1983,3,20,14,736,538,19.0,Mar-31,28.31,4.38,38.7,0,0,0.95,0.23,0.73,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TM Dilshan (SL),1999-2016,1999.0,2016.0,18.0,330.0,303.0,41.0,10290.0,161*,161.0,1.0,39.27,11933.0,86.23,22.0,47.0,11.0,31.18,6.67,14.24,58.054,1999-2016,1999,2016,17,330,204,5880,4778,106.0,04-Apr,45.07,4.87,55.4,3,0,0.32,0.21,0.29,0.000,1999-2016,1999.0,2016.0,17.0,330.0,325.0,124.0,123.0,1.0,5.0,118.0,3 (3ct 0st),0.381,0.37,0.38,0.0,True,True,All-rounder
TM Dowlin (WI),2009-2010,2009.0,2010.0,2.0,11.0,11.0,2.0,228.0,100*,100.0,1.0,25.33,348.0,65.51,1.0,1.0,2.0,20.73,9.09,9.09,41.402,2009-2010,2009,2010,1,11,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
TM Head (AUS),2016-2018,2016.0,2018.0,3.0,42.0,39.0,2.0,1273.0,128,128.0,0.0,34.4,1414.0,90.02,1.0,10.0,1.0,30.31,2.38,23.81,56.648,2016-2018,2016,2018,2,42,26,765,737,12.0,Feb-22,61.41,5.78,63.7,0,0,0.29,0.17,0.25,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TM Moody (AUS),1987-1999,1987.0,1999.0,13.0,76.0,64.0,12.0,1211.0,89,89.0,0.0,23.28,1747.0,69.31,0.0,10.0,6.0,15.93,0,13.16,41.692,1987-1999,1987,1999,12,76,66,2797,2014,52.0,Mar-25,38.73,4.32,53.7,0,0,0.68,0.23,0.55,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TM Odoyo (Afr/KENYA),1996-2014,1996.0,2014.0,19.0,136.0,119.0,16.0,2420.0,111*,111.0,1.0,23.49,3438.0,70.38,1.0,8.0,13.0,17.79,0.74,5.88,42.246,1996-2014,1996,2014,18,136,129,5649,4335,145.0,Apr-25,29.89,4.6,38.9,5,0,1.07,0.22,0.81,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TMK Mawoyo (ZIM),2006-2014,2006.0,2014.0,9.0,7.0,7.0,0.0,58.0,15,15.0,0.0,8.28,160.0,36.25,0.0,0.0,1.0,8.29,0,0,19.468,2006-2014,2006,2014,8,7,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
TN Garwe (ZIM),,,,,,,,,,,,,,,,,,,,,,2009-2009,2009,2009,0,1,1,36,50,1.0,Jan-50,50,8.33,36,0,0,1.00,0.12,0.74,0.000,,,,,,,,,,,,,,,,,False,True,Bowler
TN Madondo (ZIM),1998-2001,1998.0,2001.0,4.0,13.0,13.0,1.0,191.0,71,71.0,0.0,15.91,331.0,57.7,0.0,1.0,2.0,14.69,0,7.69,32.626,1998-2001,1998,2001,3,13,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
TN de Grooth (NL),2006-2013,2006.0,2013.0,8.0,34.0,32.0,4.0,480.0,97,97.0,0.0,17.14,774.0,62.01,0.0,1.0,1.0,14.12,0,2.94,35.088,2006-2013,2006,2013,7,34,1,6,2,1.0,01-Feb,2,2,6,0,0,0.03,0.50,0.17,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TP Kamungozi (ZIM),2006-2015,2006.0,2015.0,10.0,14.0,11.0,6.0,27.0,12*,12.0,1.0,5.4,55.0,49.09,0.0,0.0,2.0,1.93,0,0,22.876,2006-2015,2006,2015,9,14,13,636,548,12.0,Feb-36,45.66,5.16,53,0,0,0.86,0.19,0.66,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
TP Ura (PNG),2014-2019,2014.0,2019.0,6.0,26.0,26.0,0.0,718.0,151,151.0,0.0,27.61,892.0,80.49,1.0,2.0,2.0,27.62,3.85,7.69,48.762,2014-2019,2014,2019,5,26,1,6,12,0.0,-,-,12,-,0,0,0.00,0.08,0.03,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
