Player,Span_bat,Start_Year_bat,End_Year_bat,Career_Length_bat,Mat_bat,Inns_bat,NO,Runs_bat,HS,HS_Numeric,HS_NotOut,Ave_bat,BF,SR_bat,100,50,0,Runs_Per_Match,Century_Rate,Fifty_Rate,Consistency_Score,Span_bowl,Start_Year_bowl,End_Year_bowl,Career_Length_bowl,Mat_bowl,Inns_bowl,Balls,Runs_bowl,Wkts,BBI,Ave_bowl,Econ,SR_bowl,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate,has_batting,has_bowling,player_role_hint
Ankur Vasishta (HKG),2014-2014,2014.0,2014.0,1.0,4.0,4.0,1.0,36.0,18,18.0,0.0,12,69.0,52.17,0.0,0.0,0.0,9,0,0,28.068,2014-2014,2014,2014,0,4,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
Anshuman Rath (HKG),2014-2018,2014.0,2018.0,5.0,18.0,18.0,2.0,828.0,143*,143.0,1.0,51.75,1080.0,76.66,1.0,7.0,1.0,46,5.56,38.89,61.714,2014-2018,2014,2018,4,18,7,337,167,14.0,Mar-22,11.92,2.97,24,0,0,0.78,0.34,0.65,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Anwar Ali (PAK),2013-2016,2013.0,2016.0,4.0,22.0,16.0,5.0,321.0,43*,43.0,1.0,29.18,367.0,87.46,0.0,0.0,0.0,14.59,0,0,52.492,2013-2016,2013,2016,3,22,22,927,944,18.0,Mar-66,52.44,6.11,51.5,0,0,0.82,0.16,0.62,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Anwar Hossain (BDESH),2002-2002,2002.0,2002.0,1.0,1.0,1.0,0.0,42.0,42,42.0,0.0,42,107.0,39.25,0.0,0.0,0.0,42,0,0,40.9,2002-2002,2002,2002,0,1,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
Anwar Hossain Monir (BDESH),2002-2002,2002.0,2002.0,1.0,1.0,1.0,1.0,0.0,0*,0.0,1.0,-,8.0,0,0.0,0.0,0.0,0,0,0,#VALUE!,2002-2002,2002,2002,0,1,1,48,45,0.0,-,-,5.62,-,0,0,0.00,0.18,0.05,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Aqib Ilyas (OMAN),2019-2019,2019.0,2019.0,1.0,5.0,5.0,0.0,221.0,63,63.0,0.0,44.2,282.0,78.36,0.0,2.0,0.0,44.2,0,40,57.864,2019-2019,2019,2019,0,5,5,138,80,6.0,Feb-32,13.33,3.47,23,0,0,1.20,0.29,0.93,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Arafat Sunny (BDESH),2014-2015,2014.0,2015.0,2.0,16.0,11.0,7.0,48.0,15,15.0,0.0,12,92.0,52.17,0.0,0.0,1.0,3,0,0,28.068,2014-2015,2014,2015,1,16,16,830,600,24.0,Apr-27,25,4.33,34.5,2,0,1.50,0.23,1.12,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Ariful Haque (BDESH),,,,,,,,,,,,,,,,,,,,,,2018-2018,2018,2018,0,1,1,18,17,0.0,-,-,5.66,-,0,0,0.00,0.18,0.05,0.000,,,,,,,,,,,,,,,,,False,True,Bowler
Arshad Ali (UAE),2004-2008,2004.0,2008.0,5.0,4.0,4.0,0.0,54.0,41,41.0,0.0,13.5,102.0,52.94,0.0,0.0,1.0,13.5,0,0,29.276,2004-2008,2004,2008,4,4,3,102,105,1.0,01-May,105,6.17,102,0,0,0.25,0.16,0.22,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Arshad Ayub (INDIA),1987-1990,1987.0,1990.0,4.0,32.0,17.0,7.0,116.0,31*,31.0,1.0,11.6,162.0,71.6,0.0,0.0,1.0,3.63,0,0,35.6,1987-1990,1987,1990,3,32,32,1769,1216,31.0,May-21,39.22,4.12,57,0,1,0.97,0.24,0.75,0.031,,,,,,,,,,,,,,,,,True,True,All-rounder
Arshad Khan (PAK),1993-2006,1993.0,2006.0,14.0,58.0,29.0,18.0,133.0,20,20.0,0.0,12.09,217.0,61.29,0.0,0.0,5.0,2.29,0,0,31.77,1993-2006,1993,2006,13,58,56,2823,1948,56.0,Apr-33,34.78,4.14,50.4,1,0,0.97,0.24,0.75,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Arshad Laeeq (UAE),1994-1996,1994.0,1996.0,3.0,6.0,6.0,1.0,101.0,43*,43.0,1.0,20.2,215.0,46.97,0.0,0.0,1.0,16.83,0,0,30.908,1994-1996,1994,1996,2,6,6,198,198,1.0,Jan-25,198,6,198,0,0,0.17,0.17,0.17,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Arshad Pervez (PAK),1978-1978,1978.0,1978.0,1.0,2.0,2.0,0.0,11.0,8,8.0,0.0,5.5,47.0,23.4,0.0,0.0,0.0,5.5,0,0,12.66,1978-1978,1978,1978,0,2,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
Asad Ali (PAK),2013-2013,2013.0,2013.0,1.0,4.0,2.0,0.0,13.0,11,11.0,0.0,6.5,16.0,81.25,0.0,0.0,0.0,3.25,0,0,36.4,2013-2013,2013,2013,0,4,4,180,115,2.0,Jan-22,57.5,3.83,90,0,0,0.50,0.26,0.43,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Asad Shafiq (PAK),2010-2017,2010.0,2017.0,8.0,60.0,58.0,4.0,1336.0,84,84.0,0.0,24.74,1979.0,67.5,0.0,9.0,5.0,22.27,0,15,41.844,2010-2017,2010,2017,7,60,2,12,18,0.0,-,-,9,-,0,0,0.00,0.11,0.03,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Asghar Afghan (AFG),2009-2019,2009.0,2019.0,11.0,111.0,105.0,9.0,2356.0,101,101.0,0.0,24.54,3531.0,66.72,1.0,12.0,7.0,21.23,0.9,10.81,41.412,2009-2019,2009,2019,10,111,7,139,91,3.0,01-Jan,30.33,3.92,46.3,0,0,0.03,0.26,0.10,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Asghar Ali (UAE),2004-2004,2004.0,2004.0,1.0,2.0,2.0,0.0,14.0,14,14.0,0.0,7,53.0,26.41,0.0,0.0,1.0,7,0,0,14.764,2004-2004,2004,2004,0,2,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
Ashfaq Ahmed (PAK),,,,,,,,,,,,,,,,,,,,,,1994-1994,1994,1994,0,3,3,102,84,0.0,-,-,4.94,-,0,0,0.00,0.20,0.06,0.000,,,,,,,,,,,,,,,,,False,True,Bowler
Ashfaq Ahmed (UAE),2018-2019,2018.0,2019.0,2.0,16.0,16.0,0.0,344.0,92,92.0,0.0,21.5,387.0,88.88,0.0,2.0,1.0,21.5,0,12.5,48.452,2018-2019,2018,2019,1,16,7,223,185,4.0,Feb-55,46.25,4.97,55.7,0,0,0.25,0.20,0.24,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Ashraf Ali (PAK),1980-1985,1980.0,1985.0,6.0,16.0,9.0,5.0,69.0,19*,19.0,1.0,17.25,135.0,51.11,0.0,0.0,1.0,4.31,0,0,30.794,1980-1985,1980,1985,5,16,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
Asif Ali (PAK),2018-2019,2018.0,2019.0,2.0,18.0,14.0,1.0,361.0,52,52.0,0.0,27.76,280.0,128.92,0.0,3.0,0.0,20.06,0,16.67,68.224,2018-2019,2018,2019,1,18,1,5,9,0.0,-,-,10.8,-,0,0,0.00,0.09,0.03,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Asif Iqbal (1) (UAE),2015-2015,2015.0,2015.0,1.0,1.0,1.0,0.0,8.0,8,8.0,0.0,8,8.0,100,0.0,0.0,0.0,8,0,0,44.8,2015-2015,2015,2015,0,1,1,24,32,0.0,-,-,8,-,0,0,0.00,0.13,0.04,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Asif Iqbal (PAK),1973-1979,1973.0,1979.0,7.0,10.0,8.0,2.0,330.0,62,62.0,0.0,55,466.0,70.81,0.0,5.0,0.0,33,0,50,61.324,1973-1979,1973,1979,6,10,10,592,378,16.0,Apr-56,23.62,3.83,37,1,0,1.60,0.26,1.20,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Asif Mahmood (PAK),1998-1998,1998.0,1998.0,1.0,2.0,2.0,0.0,14.0,14,14.0,0.0,7,34.0,41.17,0.0,0.0,1.0,7,0,0,20.668,1998-1998,1998,1998,0,2,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
Asif Masood (PAK),1973-1976,1973.0,1976.0,4.0,7.0,3.0,1.0,10.0,6,6.0,0.0,5,17.0,58.82,0.0,0.0,1.0,1.43,0,0,26.528,1973-1976,1973,1976,3,7,7,402,234,5.0,02-Sep,46.8,3.49,80.4,0,0,0.71,0.29,0.59,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Asif Mujtaba (PAK),1986-1996,1986.0,1996.0,11.0,66.0,55.0,14.0,1068.0,113*,113.0,1.0,26.04,1671.0,63.91,1.0,6.0,8.0,16.18,1.52,9.09,41.188,1986-1996,1986,1996,10,66,28,756,658,7.0,Feb-38,94,5.22,108,0,0,0.11,0.19,0.13,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Asim Butt (SCOT),1999-1999,1999.0,1999.0,1.0,5.0,4.0,0.0,23.0,11,11.0,0.0,5.75,28.0,82.14,0.0,0.0,0.0,4.6,0,0,36.306,1999-1999,1999,1999,0,5,5,222,148,4.0,Feb-24,37,4,55.5,0,0,0.80,0.25,0.64,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Asim Saeed (UAE),2004-2004,2004.0,2004.0,1.0,2.0,2.0,0.0,12.0,12,12.0,0.0,6,19.0,63.15,0.0,0.0,1.0,6,0,0,28.86,2004-2004,2004,2004,0,2,2,54,40,1.0,Jan-25,40,4.44,54,0,0,0.50,0.23,0.42,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Ata-ur-Rehman (PAK),1992-1996,1992.0,1996.0,5.0,30.0,13.0,6.0,34.0,11*,11.0,1.0,4.85,76.0,44.73,0.0,0.0,2.0,1.13,0,0,20.802,1992-1996,1992,1996,4,30,30,1492,1186,27.0,Mar-27,43.92,4.76,55.2,0,0,0.90,0.21,0.69,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Athar Ali Khan (BDESH),1988-1998,1988.0,1998.0,11.0,19.0,19.0,1.0,532.0,82,82.0,0.0,29.55,945.0,56.29,0.0,3.0,3.0,28,0,15.79,40.246,1988-1998,1988,1998,10,19,15,420,365,6.0,Feb-33,60.83,5.21,70,0,0,0.32,0.19,0.28,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Atiq-uz-Zaman (PAK),2000-2000,2000.0,2000.0,1.0,3.0,3.0,1.0,34.0,18,18.0,0.0,17,36.0,94.44,0.0,0.0,0.0,11.33,0,0,47.976,2000-2000,2000,2000,0,3,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
Azam Khan (PAK),1996-1998,1996.0,1998.0,3.0,6.0,5.0,0.0,116.0,72,72.0,0.0,23.2,177.0,65.53,0.0,1.0,0.0,19.33,0,16.67,40.132,1996-1998,1996,1998,2,6,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
Azeem Hafeez (PAK),1983-1985,1983.0,1985.0,3.0,15.0,10.0,7.0,45.0,15,15.0,0.0,15,104.0,43.26,0.0,0.0,1.0,3,0,0,26.304,1983-1985,1983,1985,2,15,14,719,586,15.0,Apr-22,39.06,4.89,47.9,1,0,1.00,0.20,0.76,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Azhar Ali (PAK),2011-2018,2011.0,2018.0,8.0,53.0,53.0,3.0,1845.0,102,102.0,0.0,36.9,2478.0,74.45,3.0,12.0,3.0,34.81,5.66,22.64,51.92,2011-2018,2011,2018,7,53,14,258,260,4.0,Feb-26,65,6.04,64.5,0,0,0.08,0.17,0.10,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Azhar Hossain (BDESH),1988-1990,1988.0,1990.0,3.0,7.0,7.0,0.0,96.0,54,54.0,0.0,13.71,266.0,36.09,0.0,1.0,0.0,13.71,0,14.29,22.662,1988-1990,1988,1990,2,7,7,263,209,4.0,Jan-20,52.25,4.76,65.7,0,0,0.57,0.21,0.46,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Azhar Mahmood (PAK),1996-2007,1996.0,2007.0,12.0,143.0,110.0,26.0,1521.0,67,67.0,0.0,18.1,1988.0,76.5,0.0,3.0,9.0,10.64,0,2.1,41.46,1996-2007,1996,2007,11,143,139,6242,4813,123.0,Jun-18,39.13,4.62,50.7,2,3,0.86,0.22,0.67,0.021,,,,,,,,,,,,,,,,,True,True,All-rounder
Azhar Saeed (UAE),1994-1996,1994.0,1996.0,3.0,7.0,7.0,0.0,61.0,32,32.0,0.0,8.71,195.0,31.28,0.0,0.0,1.0,8.71,0,0,17.738,1994-1996,1994,1996,2,7,7,271,213,6.0,Mar-45,35.5,4.71,45.1,0,0,0.86,0.21,0.66,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
Azmat Rana (PAK),1978-1978,1978.0,1978.0,1.0,2.0,2.0,1.0,42.0,22*,22.0,1.0,42,73.0,57.53,0.0,0.0,0.0,21,0,0,48.212,1978-1978,1978,1978,0,2,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
B Arun (INDIA),1986-1987,1986.0,1987.0,2.0,4.0,3.0,1.0,21.0,8,8.0,0.0,10.5,32.0,65.62,0.0,0.0,0.0,5.25,0,0,32.548,1986-1987,1986,1987,1,4,4,102,103,1.0,Jan-43,103,6.05,102,0,0,0.25,0.17,0.22,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
B Bhandari (NEPAL),2019-2019,2019.0,2019.0,1.0,3.0,3.0,0.0,35.0,21,21.0,0.0,11.66,77.0,45.45,0.0,0.0,0.0,11.67,0,0,25.176,2019-2019,2019,2019,0,3,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
B Geeves (AUS),2008-2009,2008.0,2009.0,2.0,2.0,2.0,2.0,10.0,10*,10.0,1.0,-,11.0,90.9,0.0,0.0,0.0,5,0,0,#VALUE!,2008-2009,2008,2009,1,2,2,90,78,3.0,02-Nov,26,5.2,30,0,0,1.50,0.19,1.11,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
B Kumar (INDIA),2012-2019,2012.0,2019.0,8.0,114.0,52.0,15.0,526.0,53*,53.0,1.0,14.21,703.0,74.82,0.0,1.0,8.0,4.61,0,0.88,38.454,2012-2019,2012,2019,7,114,113,5451,4568,132.0,May-42,34.6,5.02,41.2,4,1,1.16,0.20,0.87,0.009,,,,,,,,,,,,,,,,,True,True,All-rounder
B Laughlin (AUS),2009-2009,2009.0,2009.0,1.0,5.0,1.0,1.0,1.0,1*,1.0,1.0,-,9.0,11.11,0.0,0.0,0.0,0.2,0,0,#VALUE!,2009-2009,2009,2009,0,5,5,224,219,4.0,Jan-28,54.75,5.86,56,0,0,0.80,0.17,0.61,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
B Lee (AUS),2000-2012,2000.0,2012.0,13.0,221.0,110.0,44.0,1176.0,59,59.0,0.0,17.81,1407.0,83.58,0.0,3.0,16.0,5.32,0,1.36,44.118,2000-2012,2000,2012,12,221,217,11185,8877,380.0,May-22,23.36,4.76,29.4,14,9,1.72,0.21,1.27,0.041,,,,,,,,,,,,,,,,,True,True,All-rounder
B Mavuta (ZIM),2018-2019,2018.0,2019.0,2.0,7.0,5.0,1.0,52.0,20,20.0,0.0,13,47.0,110.63,0.0,0.0,1.0,7.43,0,0,52.052,2018-2019,2018,2019,1,7,7,276,266,7.0,Feb-30,38,5.78,39.4,0,0,1.00,0.17,0.75,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
B Muzarabani (ZIM),2018-2018,2018.0,2018.0,1.0,18.0,15.0,7.0,16.0,7,7.0,0.0,2,89.0,17.97,0.0,0.0,5.0,0.89,0,0,8.388,2018-2018,2018,2018,0,18,18,786,733,18.0,Apr-47,40.72,5.59,43.6,1,0,1.00,0.18,0.75,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
B Reddy (INDIA),1978-1981,1978.0,1981.0,4.0,3.0,2.0,2.0,11.0,8*,8.0,1.0,-,20.0,55,0.0,0.0,0.0,3.67,0,0,#VALUE!,1978-1981,1978,1981,3,3,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
B Regmi (NEPAL),2018-2019,2018.0,2019.0,2.0,4.0,4.0,0.0,13.0,12,12.0,0.0,3.25,47.0,27.65,0.0,0.0,2.0,3.25,0,0,13.01,2018-2019,2018,2019,1,4,4,174,117,4.0,Feb-49,29.25,4.03,43.5,0,0,1.00,0.25,0.77,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
B Stanlake (AUS),2017-2019,2017.0,2019.0,3.0,7.0,5.0,2.0,4.0,2,2.0,0.0,1.33,28.0,14.28,0.0,0.0,1.0,0.57,0,0,6.51,2017-2019,2017,2019,2,7,7,354,324,7.0,Mar-35,46.28,5.49,50.5,0,0,1.00,0.18,0.75,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
B Warnapura (SL),1975-1982,1975.0,1982.0,8.0,12.0,12.0,0.0,180.0,77,77.0,0.0,15,415.0,43.37,0.0,1.0,1.0,15,0,8.33,26.348,1975-1982,1975,1982,7,12,9,414,316,8.0,Mar-42,39.5,4.57,51.7,0,0,0.67,0.22,0.53,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
B Wood (ENG),1972-1982,1972.0,1982.0,11.0,13.0,12.0,2.0,314.0,78*,78.0,1.0,31.4,647.0,48.53,0.0,2.0,1.0,24.15,0,15.38,38.252,1972-1982,1972,1982,10,13,10,420,224,9.0,Feb-14,24.88,3.2,46.6,0,0,0.69,0.31,0.58,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
B Yardley (AUS),1978-1983,1978.0,1983.0,6.0,7.0,4.0,0.0,58.0,28,28.0,0.0,14.5,98.0,59.18,0.0,0.0,1.0,8.29,0,0,32.372,1978-1983,1978,1983,5,7,5,198,130,7.0,Mar-28,18.57,3.93,28.2,0,0,1.00,0.25,0.78,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
B Yograj Singh (INDIA),1980-1981,1980.0,1981.0,2.0,6.0,4.0,2.0,1.0,1,1.0,0.0,0.5,12.0,8.33,0.0,0.0,1.0,0.17,0,0,3.632,1980-1981,1980,1981,1,6,5,244,186,4.0,Feb-44,46.5,4.57,61,0,0,0.67,0.22,0.53,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
B Zuiderent (NL),1996-2011,1996.0,2011.0,16.0,57.0,56.0,10.0,1097.0,77*,77.0,1.0,23.84,1873.0,58.56,0.0,8.0,7.0,19.25,0,14.04,37.728,1996-2011,1996,2011,15,57,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
BA Edgar (NZ),1978-1986,1978.0,1986.0,9.0,64.0,64.0,5.0,1814.0,102*,102.0,1.0,30.74,3685.0,49.22,1.0,10.0,3.0,28.34,1.56,15.63,38.132,1978-1986,1978,1986,8,64,1,12,5,0.0,-,-,2.5,-,0,0,0.00,0.40,0.12,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
BA King (WI),2019-2019,2019.0,2019.0,1.0,1.0,1.0,0.0,39.0,39,39.0,0.0,39,56.0,69.64,0.0,0.0,0.0,39,0,0,51.256,2019-2019,2019,2019,0,1,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
BA Murphy (ZIM),2000-2003,2000.0,2003.0,4.0,31.0,17.0,8.0,72.0,20*,20.0,1.0,8,130.0,55.38,0.0,0.0,1.0,2.32,0,0,26.952,2000-2003,2000,2003,3,31,29,1422,1130,29.0,Mar-43,38.96,4.76,49,0,0,0.94,0.21,0.72,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
BA Parchment (WI),2007-2008,2007.0,2008.0,2.0,7.0,7.0,0.0,122.0,48,48.0,0.0,17.42,217.0,56.22,0.0,0.0,0.0,17.43,0,0,32.94,2007-2008,2007,2008,1,7,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
BA Reid (AUS),1986-1992,1986.0,1992.0,7.0,61.0,21.0,8.0,49.0,10,10.0,0.0,3.76,117.0,41.88,0.0,0.0,1.0,0.8,0,0,19.008,1986-1992,1986,1992,6,61,61,3250,2203,63.0,May-53,34.96,4.06,51.5,0,1,1.03,0.25,0.80,0.016,,,,,,,,,,,,,,,,,True,True,All-rounder
BA Stokes (ENG),2011-2019,2011.0,2019.0,9.0,95.0,81.0,15.0,2682.0,102*,102.0,1.0,40.63,2855.0,93.94,3.0,20.0,5.0,28.23,3.16,21.05,61.954,2011-2019,2011,2019,8,95,80,2912,2920,70.0,May-61,41.71,6.01,41.6,1,1,0.74,0.17,0.57,0.011,,,,,,,,,,,,,,,,,True,True,All-rounder
BA Westdijk (NL),2011-2011,2011.0,2011.0,1.0,4.0,3.0,1.0,1.0,1*,1.0,1.0,0.5,6.0,16.66,0.0,0.0,2.0,0.25,0,0,6.964,2011-2011,2011,2011,0,4,4,156,195,1.0,Jan-56,195,7.5,156,0,0,0.25,0.13,0.22,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
BA Williams (AUS),2002-2004,2002.0,2004.0,3.0,25.0,6.0,4.0,27.0,13*,13.0,1.0,13.5,46.0,58.69,0.0,0.0,2.0,1.08,0,0,31.576,2002-2004,2002,2004,2,25,24,1203,814,35.0,May-22,23.25,4.05,34.3,1,2,1.40,0.25,1.05,0.080,,,,,,,,,,,,,,,,,True,True,All-rounder
BA Young (NZ),1990-1999,1990.0,1999.0,10.0,74.0,73.0,5.0,1668.0,74,74.0,0.0,24.52,2733.0,61.03,0.0,9.0,5.0,22.54,0,12.16,39.124,1990-1999,1990,1999,9,74,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
BAW Mendis (SL),2008-2015,2008.0,2015.0,8.0,87.0,42.0,19.0,188.0,21*,21.0,1.0,8.17,263.0,71.48,0.0,0.0,10.0,2.16,0,0,33.494,2008-2015,2008,2015,7,87,84,4154,3324,152.0,Jun-13,21.86,4.8,27.3,7,3,1.75,0.21,1.29,0.034,,,,,,,,,,,,,,,,,True,True,All-rounder
BB Chari (ZIM),2015-2019,2015.0,2019.0,5.0,11.0,11.0,0.0,150.0,39,39.0,0.0,13.63,332.0,45.18,0.0,0.0,0.0,13.64,0,0,26.25,2015-2019,2015,2019,4,11,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
BB McCullum (NZ),2002-2016,2002.0,2016.0,15.0,260.0,228.0,28.0,6083.0,166,166.0,0.0,30.41,6312.0,96.37,5.0,32.0,20.0,23.4,1.92,12.31,56.794,2002-2016,2002,2016,14,260,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,2002-2016,2002.0,2016.0,14.0,260.0,257.0,277.0,262.0,15.0,227.0,35.0,5 (5ct 0st),1.077,1.01,1.07,0.06,True,True,All-rounder
BB Seebaran (CAN),2003-2003,2003.0,2003.0,1.0,4.0,3.0,2.0,4.0,4*,4.0,1.0,4,13.0,30.76,0.0,0.0,1.0,1,0,0,14.704,2003-2003,2003,2003,0,4,3,108,130,1.0,Jan-61,130,7.22,108,0,0,0.25,0.14,0.22,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
BB Sran (INDIA),,,,,,,,,,,,,,,,,,,,,,2016-2016,2016,2016,0,6,6,302,269,7.0,Mar-56,38.42,5.34,43.1,0,0,1.17,0.19,0.87,0.000,,,,,,,,,,,,,,,,,False,True,Bowler
BC Broad (ENG),1987-1988,1987.0,1988.0,2.0,34.0,34.0,0.0,1361.0,106,106.0,0.0,40.02,2447.0,55.61,1.0,11.0,2.0,40.03,2.94,32.35,46.256,1987-1988,1987,1988,1,34,1,6,6,0.0,-,-,6,-,0,0,0.00,0.17,0.05,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
BC Hollioake (ENG),1997-2002,1997.0,2002.0,6.0,20.0,17.0,2.0,309.0,63,63.0,0.0,20.6,381.0,81.1,0.0,2.0,3.0,15.45,0,10,44.8,1997-2002,1997,2002,5,20,17,642,532,8.0,Feb-37,66.5,4.97,80.2,0,0,0.40,0.20,0.34,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
BC Lara (ICC/WI),1990-2007,1990.0,2007.0,18.0,299.0,289.0,32.0,10405.0,169,169.0,0.0,40.48,13086.0,79.51,19.0,63.0,16.0,34.8,6.35,21.07,56.092,1990-2007,1990,2007,17,299,5,49,61,4.0,02-May,15.25,7.46,12.2,0,0,0.01,0.13,0.05,0.000,1990-2007,1990.0,2007.0,17.0,299.0,296.0,120.0,120.0,0.0,0.0,120.0,3 (3ct 0st),0.405,0.4,0.4,0.0,True,True,All-rounder
BC Rose (ENG),1977-1977,1977.0,1977.0,1.0,2.0,2.0,0.0,99.0,54,54.0,0.0,49.5,210.0,47.14,0.0,1.0,0.0,49.5,0,50,48.556,1977-1977,1977,1977,0,2,-,-,-,,-,-,-,-,-,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,True,True,All-rounder
BC Strang (ZIM),1995-2001,1995.0,2001.0,7.0,49.0,26.0,8.0,92.0,18,18.0,0.0,5.11,220.0,41.81,0.0,0.0,5.0,1.88,0,0,19.79,1995-2001,1995,2001,6,49,48,2494,1718,46.0,Jun-20,37.34,4.13,54.2,1,1,0.94,0.24,0.73,0.020,,,,,,,,,,,,,,,,,True,True,All-rounder
BCJ Cutting (AUS),2013-2014,2013.0,2014.0,2.0,4.0,2.0,0.0,53.0,27,27.0,0.0,26.5,67.0,79.1,0.0,0.0,0.0,13.25,0,0,47.54,2013-2014,2013,2014,1,4,4,216,158,5.0,Mar-45,31.6,4.38,43.2,0,0,1.25,0.23,0.94,0.000,,,,,,,,,,,,,,,,,True,True,All-rounder
BD Glover (NL),,,,,,,,,,,,,,,,,,,,,,2019-2019,2019,2019,0,1,1,60,37,1.0,Jan-37,37,3.7,60,0,0,1.00,0.27,0.78,0.000,,,,,,,,,,,,,,,,,False,True,Bowler
