Player,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate
AB de Villiers (Afr/SA),2005-2018,2005,2018,13,228,223,181,176,5,93,83,5 (5ct 0st),0.8109999999999999,0.77,0.79,0.02
BJ Haddin (AUS),2001-2015,2001,2015,14,126,124,181,170,11,170,0,5 (5ct 0st),1.459,1.35,1.44,0.09
AJ Stewart (ENG),1989-2003,1989,2003,14,170,169,174,159,15,148,11,6 (6ct 0st),1.0290000000000001,0.94,1.02,0.09
A Flower (ZIM),1992-2003,1992,2003,11,213,212,173,141,32,133,8,5 (5ct 0st),0.816,0.66,0.81,0.15
Q de Kock (SA),2013-2019,2013,2019,6,115,111,166,158,8,158,0,6 (5ct 1st),1.495,1.37,1.44,0.07
DJ Richardson (SA),1991-1998,1991,1998,7,122,121,165,148,17,148,0,5 (5ct 0st),1.3630000000000002,1.21,1.35,0.14
RT Ponting (AUS/ICC),1995-2012,1995,2012,17,375,372,160,160,0,0,160,3 (3ct 0st),0.43,0.43,0.43,0.00
M Azharuddin (INDIA),1985-2000,1985,2000,15,334,332,156,156,0,0,156,4 (4ct 0st),0.469,0.47,0.47,0.00
NR Mongia (INDIA),1994-2000,1994,2000,6,140,139,154,110,44,110,0,5 (4ct 1st),1.107,0.79,1.10,0.31
BRM Taylor (ZIM),2004-2019,2004,2019,15,193,193,154,125,29,96,29,5 (5ct 0st),0.797,0.65,0.80,0.15
T Taibu (Afr/ZIM),2001-2012,2001,2012,11,150,150,147,114,33,112,2,4 (4ct 0st),0.98,0.76,0.98,0.22
AC Parore (NZ),1992-2002,1992,2002,10,179,178,141,116,25,111,5,5 (3ct 2st),0.792,0.65,0.79,0.14
Sarfaraz Ahmed (PAK),2007-2019,2007,2019,12,116,114,140,116,24,116,0,6 (6ct 0st),1.228,1.00,1.21,0.21
SR Tendulkar (INDIA),1989-2012,1989,2012,23,463,456,140,140,0,0,140,4 (4ct 0st),0.307,0.30,0.30,0.00
LRPL Taylor (NZ),2006-2019,2006,2019,13,228,224,137,137,0,0,137,4 (4ct 0st),0.611,0.60,0.60,0.00
Younis Khan (PAK),2000-2015,2000,2015,15,265,260,135,135,0,5,130,4 (4ct 0st),0.519,0.51,0.51,0.00
SP Fleming (ICC/NZ),1994-2007,1994,2007,13,280,276,133,133,0,0,133,4 (4ct 0st),0.48100000000000004,0.48,0.48,0.00
JH Kallis (Afr/ICC/SA),1996-2014,1996,2014,18,328,324,131,131,0,0,131,3 (3ct 0st),0.40399999999999997,0.40,0.40,0.00
M Muralitharan (Asia/ICC/SL),1993-2011,1993,2011,18,350,347,130,130,0,0,130,3 (3ct 0st),0.374,0.37,0.37,0.00
AR Border (AUS),1979-1994,1979,1994,15,273,270,127,127,0,0,127,3 (3ct 0st),0.47,0.47,0.47,0.00
Shahid Afridi (Asia/ICC/PAK),1996-2015,1996,2015,19,398,392,127,127,0,0,127,2 (2ct 0st),0.32299999999999995,0.32,0.32,0.00
Khaled Mashud (BDESH),1995-2006,1995,2006,11,126,126,126,91,35,91,0,5 (3ct 2st),1,0.72,1.00,0.28
TM Dilshan (SL),1999-2016,1999,2016,17,330,325,124,123,1,5,118,3 (3ct 0st),0.381,0.37,0.38,0.00
CH Gayle (ICC/WI),1999-2019,1999,2019,20,301,294,124,124,0,0,124,3 (3ct 0st),0.42100000000000004,0.41,0.41,0.00
V Kohli (INDIA),2008-2019,2008,2019,11,242,240,124,124,0,0,124,3 (3ct 0st),0.516,0.51,0.51,0.00
RW Marsh (AUS),1971-1984,1971,1984,13,92,92,124,120,4,120,0,5 (5ct 0st),1.347,1.30,1.35,0.04
ST Jayasuriya (Asia/SL),1989-2011,1989,2011,22,445,441,123,123,0,0,123,3 (3ct 0st),0.278,0.28,0.28,0.00
CL Hooper (WI),1987-2003,1987,2003,16,227,225,120,120,0,0,120,4 (4ct 0st),0.5329999999999999,0.53,0.53,0.00
BC Lara (ICC/WI),1990-2007,1990,2007,17,299,296,120,120,0,0,120,3 (3ct 0st),0.405,0.40,0.40,0.00
L Ronchi (AUS/NZ),2008-2017,2008,2017,9,85,83,117,105,12,105,0,4 (4ct 0st),1.409,1.24,1.38,0.14
MS Wade (AUS),2012-2017,2012,2017,5,94,94,117,108,9,108,0,5 (5ct 0st),1.244,1.15,1.24,0.10
Inzamam-ul-Haq (Asia/PAK),1991-2007,1991,2007,16,378,373,113,113,0,0,113,3 (3ct 0st),0.302,0.30,0.30,0.00
SR Waugh (AUS),1986-2002,1986,2002,16,325,324,111,111,0,0,111,3 (3ct 0st),0.342,0.34,0.34,0.00
