Player,Span,Start_Year,End_Year,Career_Lenght,Mat,Inns,NO,Runs,HS,HS_Numeric,HS_NotOut,Ave,BF,SR,100,50,0,4s,6s, Runs_Per_Match ,Century_Rate,Fifty_Rate,Consistency_Score
H Pragji (Botsw),2019-2019,2019,2019,0,4,4,1,38,30*,30,1,12.66,65,58.46,0,0,0,1,0, 9.50 ,0.00,0.00,30.98
BJ Watling (NZ),2009-2014,2009,2014,5,5,4,0,38,22,22,0,9.5,58,65.51,0,0,0,3,0, 7.60 ,0.00,0.00,31.90
SJ Benn (WI),2008-2016,2008,2016,8,24,7,4,37,13*,13,1,12.33,42,88.09,0,0,1,5,1, 1.54 ,0.00,0.00,42.63
VD Chandra (PNM),2019-2019,2019,2019,0,3,2,0,37,26,26,0,18.5,30,123.33,0,0,0,3,3, 12.33 ,0.00,0.00,60.43
I Danladi (NGA),2019-2019,2019,2019,0,3,2,0,37,37,37,0,18.5,38,97.36,0,0,1,4,1, 12.33 ,0.00,0.00,50.04
CJ Delany (GIBR),2019-2019,2019,2019,0,4,4,0,37,21,21,0,9.25,60,61.66,0,0,1,2,0, 9.25 ,0.00,0.00,30.21
JS Foster (ENG),2009-2009,2009,2009,0,5,5,2,37,14*,14,1,12.33,32,115.62,0,0,0,0,1, 7.40 ,0.00,0.00,53.65
RM Hira (NZ),2012-2013,2012,2013,1,15,3,1,37,20*,20,1,18.5,33,112.12,0,0,0,4,1, 2.47 ,0.00,0.00,55.95
J Hirschi (MALTA),2019-2019,2019,2019,0,4,4,0,37,13,13,0,9.25,62,59.67,0,0,0,0,0, 9.25 ,0.00,0.00,29.42
AF Ifill (Caym),2019-2019,2019,2019,0,6,6,1,37,9,9,0,7.4,61,60.65,0,0,0,2,1, 6.17 ,0.00,0.00,28.70
R Kumar (ROM),2019-2019,2019,2019,0,4,3,1,37,32,32,0,18.5,27,137.03,0,0,0,6,0, 9.25 ,0.00,0.00,65.91
D Manani (ROM),2019-2019,2019,2019,0,2,2,1,37,19*,19,1,37,32,115.62,0,0,0,4,1, 18.50 ,0.00,0.00,68.45
S Sola (Samoa),2019-2019,2019,2019,0,4,3,0,37,18,18,0,12.33,36,102.77,0,0,0,1,3, 9.25 ,0.00,0.00,48.51
CA Soper (PNG),2015-2019,2015,2019,4,13,6,4,37,19,19,0,18.5,41,90.24,0,0,0,0,3, 2.85 ,0.00,0.00,47.20
BM Wheeler (NZ),2017-2018,2017,2018,1,6,4,2,37,30,30,0,18.5,28,132.14,0,0,0,3,2, 6.17 ,0.00,0.00,63.96
RJ Campbell (HKG),2016-2016,2016,2016,0,3,3,0,36,27,27,0,12,47,76.59,0,0,1,6,0, 12.00 ,0.00,0.00,37.84
TK Curran (ENG),2017-2019,2017,2019,2,15,6,4,36,14*,14,1,18,27,133.33,0,0,0,0,3, 2.40 ,0.00,0.00,64.13
J Dunn (VAN),2019-2019,2019,2019,0,4,3,0,36,23,23,0,12,41,87.8,0,0,0,0,1, 9.00 ,0.00,0.00,42.32
J Jojo (DEN),2019-2019,2019,2019,0,7,5,3,36,13,13,0,18,27,133.33,0,0,0,1,1, 5.14 ,0.00,0.00,64.13
TE Kane (IRE),2015-2019,2015,2019,4,7,3,1,36,26*,26,1,18,23,156.52,0,0,0,5,0, 5.14 ,0.00,0.00,73.41
Mohammed Qasim (UAE),2016-2017,2016,2017,1,3,3,1,36,13*,13,1,18,51,70.58,0,0,0,2,0, 12.00 ,0.00,0.00,39.03
Mohsin Hub (Peru),2019-2019,2019,2019,0,4,4,1,36,16*,16,1,12,41,87.8,0,0,1,2,0, 9.00 ,0.00,0.00,42.32
PA Patel (INDIA),2011-2011,2011,2011,0,2,2,0,36,26,26,0,18,32,112.5,0,0,0,4,1, 18.00 ,0.00,0.00,55.80
Abdul Shakoor (UAE),2015-2019,2015,2019,4,6,4,2,35,20*,20,1,17.5,40,87.5,0,0,0,3,0, 5.83 ,0.00,0.00,45.50
MP Biddappa (PHI),2019-2019,2019,2019,0,4,2,1,35,22*,22,1,35,47,74.46,0,0,0,1,1, 8.75 ,0.00,0.00,50.78
STR Binny (INDIA),2015-2016,2015,2016,1,3,2,0,35,24,24,0,17.5,29,120.68,0,0,0,2,1, 11.67 ,0.00,0.00,58.77
PJ Cummins (AUS),2011-2019,2011,2019,8,25,11,4,35,13,13,0,5,37,94.59,0,0,2,2,1, 1.40 ,0.00,0.00,40.84
SM Curran (ENG),2019-2019,2019,2019,0,5,3,0,35,24,24,0,11.66,23,152.17,0,0,0,3,2, 7.00 ,0.00,0.00,67.86
CD de Lange (SCOT),2015-2017,2015,2017,2,8,3,0,35,22,22,0,11.66,22,159.09,0,0,0,2,2, 4.38 ,0.00,0.00,70.63
L Hermida (Mex),2019-2019,2019,2019,0,5,5,2,35,12,12,0,11.66,52,67.3,0,0,0,1,0, 7.00 ,0.00,0.00,33.92
JN Malan (SA),2019-2019,2019,2019,0,2,2,0,35,33,33,0,17.5,37,94.59,0,0,0,3,2, 17.50 ,0.00,0.00,48.34
VV Morea (PNG),2015-2017,2015,2017,2,5,5,0,35,19,19,0,7,44,79.54,0,0,1,4,0, 7.00 ,0.00,0.00,36.02
D Murphy (SCOT),2013-2013,2013,2013,0,4,4,3,35,20,20,0,35,35,100,0,0,0,1,0, 8.75 ,0.00,0.00,61.00
Nazakat Ali (NOR),2019-2019,2019,2019,0,2,2,0,35,25,25,0,17.5,31,112.9,0,0,0,1,3, 17.50 ,0.00,0.00,55.66
Shuvagata Hom (BDESH),2016-2016,2016,2016,0,5,4,2,35,16*,16,1,17.5,35,100,0,0,0,3,1, 7.00 ,0.00,0.00,50.50
Sultan Ahmed (UAE),2017-2019,2017,2019,2,17,9,3,35,11,11,0,5.83,37,94.59,0,0,3,0,2, 2.06 ,0.00,0.00,41.33
DK Anefie (Ghana),2019-2019,2019,2019,0,4,4,2,34,18*,18,1,17,38,89.47,0,0,1,2,0, 8.50 ,0.00,0.00,45.99
Arafat Sunny (BDESH),2014-2016,2014,2016,2,10,6,3,34,10,10,0,11.33,30,113.33,0,0,0,3,1, 3.40 ,0.00,0.00,52.13
Hammad Azam (PAK),2012-2013,2012,2013,1,5,4,1,34,21,21,0,11.33,34,100,0,0,0,3,1, 6.80 ,0.00,0.00,46.80
Nadeem Ahmed (HKG),2014-2017,2014,2017,3,24,9,4,34,10,10,0,6.8,55,61.81,0,0,1,2,0, 1.42 ,0.00,0.00,28.80
JD Nel (SCOT),2007-2010,2007,2010,3,10,5,2,34,13*,13,1,11.33,25,136,0,0,1,3,1, 3.40 ,0.00,0.00,61.20
OL Pitcher (BMUDA),2008-2008,2008,2008,0,3,3,0,34,15,15,0,11.33,53,64.15,0,0,0,1,0, 11.33 ,0.00,0.00,32.46
S Rakshit (CZK-R),2019-2019,2019,2019,0,7,5,1,34,15,15,0,8.5,44,77.27,0,0,1,5,0, 4.86 ,0.00,0.00,36.01
Saqib Zulfiqar (NL),2018-2019,2018,2019,1,6,4,0,34,18,18,0,8.5,43,79.06,0,0,0,1,0, 5.67 ,0.00,0.00,36.72
JTS Sumerauer (JER),2019-2019,2019,2019,0,8,6,1,34,13,13,0,6.8,39,87.17,0,0,0,3,0, 4.25 ,0.00,0.00,38.95
W Viraliliu (VAN),2019-2019,2019,2019,0,10,7,3,34,13*,13,1,8.5,26,130.76,0,0,0,3,2, 3.40 ,0.00,0.00,57.40
PSP Handscomb (AUS),2019-2019,2019,2019,0,2,2,1,33,20*,20,1,33,33,100,0,0,0,1,0, 16.50 ,0.00,0.00,59.80
GO Jones (ENG),2005-2006,2005,2006,1,2,2,1,33,19,19,0,33,25,132,0,0,0,5,0, 16.50 ,0.00,0.00,72.60
FJ Klaassen (NL),2018-2019,2018,2019,1,21,7,1,33,13,13,0,5.5,34,97.05,0,0,1,2,0, 1.57 ,0.00,0.00,42.12
MF Maharoof (SL),2006-2016,2006,2016,10,8,5,1,33,13*,13,1,8.25,43,76.74,0,0,1,0,1, 4.13 ,0.00,0.00,35.65
CB Mpofu (ZIM),2008-2019,2008,2019,11,30,10,6,33,17*,17,1,8.25,40,82.5,0,0,3,3,1, 1.10 ,0.00,0.00,37.95
K Nestor (GIBR),2019-2019,2019,2019,0,4,4,1,33,16,16,0,11,35,94.28,0,0,0,1,2, 8.25 ,0.00,0.00,44.31
I Pandey (NEPAL),2019-2019,2019,2019,0,4,4,0,33,22,22,0,8.25,50,66,0,0,0,5,0, 8.25 ,0.00,0.00,31.35
RJMGM Rupasinghe (SL),2009-2009,2009,2009,0,2,2,0,33,18,18,0,16.5,39,84.61,0,0,0,2,0, 16.50 ,0.00,0.00,43.74
Simandeep Singh (HKG),2019-2019,2019,2019,0,7,7,2,33,14*,14,1,6.6,32,103.12,0,0,0,2,0, 4.71 ,0.00,0.00,45.21
WPUJC Vaas (SL),2006-2007,2006,2007,1,6,2,1,33,21,21,0,33,41,80.48,0,0,0,1,0, 5.50 ,0.00,0.00,51.99
AA Westphal (Mex),2019-2019,2019,2019,0,5,5,0,33,24,24,0,6.6,40,82.5,0,0,0,3,0, 6.60 ,0.00,0.00,36.96
Abdul Wahid (Saudi),2019-2019,2019,2019,0,5,3,1,32,17*,17,1,16,26,123.07,0,0,0,4,1, 6.40 ,0.00,0.00,58.83
KS Bagabena (Ghana),2019-2019,2019,2019,0,4,3,2,32,23*,23,1,32,32,100,0,0,1,1,0, 8.00 ,0.00,0.00,59.20
WD Balaji Rao (CAN),2008-2008,2008,2008,0,4,4,1,32,22*,22,1,10.66,30,106.66,0,0,1,1,2, 8.00 ,0.00,0.00,49.06
SE Findlay (WI),2008-2008,2008,2008,0,2,2,0,32,19,19,0,16,31,103.22,0,0,0,4,0, 16.00 ,0.00,0.00,50.89
TG Gordon (CAN),2012-2012,2012,2012,0,3,3,0,32,23,23,0,10.66,37,86.48,0,0,0,3,0, 10.67 ,0.00,0.00,40.99
LHB Harrington-Myers (Caym),2019-2019,2019,2019,0,4,4,1,32,17*,17,1,10.66,39,82.05,0,0,1,1,1, 8.00 ,0.00,0.00,39.22
Khizer Ahmed (NOR),2019-2019,2019,2019,0,5,4,2,32,18,18,0,16,47,68.08,0,0,0,1,0, 6.40 ,0.00,0.00,36.83
GA Lamb (ZIM),2010-2010,2010,2010,0,5,4,2,32,14*,14,1,16,54,59.25,0,0,1,1,0, 6.40 ,0.00,0.00,33.30
GH O'Brien (BMUDA),2008-2019,2008,2019,11,11,6,2,32,7*,7,1,8,38,84.21,0,0,1,1,2, 2.91 ,0.00,0.00,38.48
SNJ O'Keefe (AUS),2010-2011,2010,2011,1,7,5,0,32,22,22,0,6.4,26,123.07,0,0,0,4,1, 4.57 ,0.00,0.00,53.07
Shiraz Khan (KUW),2019-2019,2019,2019,0,6,5,1,32,16*,16,1,8,27,118.51,0,0,1,2,1, 5.33 ,0.00,0.00,52.20
KRP Silva (USA),2019-2019,2019,2019,0,2,2,0,32,25,25,0,16,12,266.66,0,0,0,2,3, 16.00 ,0.00,0.00,116.26
J Theron (SA),2010-2012,2010,2012,2,9,3,3,32,31*,31,1,-,21,152.38,0,0,0,3,1, 3.56 ,0.00,0.00,#VALUE!
JC Tredwell (ENG),2012-2014,2012,2014,2,17,6,3,32,22,22,0,10.66,20,160,0,0,1,4,1, 1.88 ,0.00,0.00,70.40
TR Birt (AUS),2010-2012,2010,2012,2,4,3,0,31,17,17,0,10.33,33,93.93,0,0,0,3,1, 7.75 ,0.00,0.00,43.77
PVD Chameera (SL),2015-2018,2015,2018,3,19,10,6,31,12,12,0,7.75,40,77.5,0,0,2,3,0, 1.63 ,0.00,0.00,35.65
P Chandran (Mex),2019-2019,2019,2019,0,3,3,0,31,23,23,0,10.33,47,65.95,0,0,1,2,1, 10.33 ,0.00,0.00,32.58
R Dravid (INDIA),2011-2011,2011,2011,0,1,1,0,31,31,31,0,31,21,147.61,0,0,0,0,3, 31.00 ,0.00,0.00,77.64
V Ganesan (GER),2019-2019,2019,2019,0,4,4,0,31,15,15,0,7.75,42,73.8,0,0,0,0,0, 7.75 ,0.00,0.00,34.17
Jahurul Islam (BDESH),2010-2013,2010,2013,3,3,3,0,31,18,18,0,10.33,23,134.78,0,0,0,3,1, 10.33 ,0.00,0.00,60.11
Jasdeep Singh (USA),2019-2019,2019,2019,0,4,2,0,31,31,31,0,15.5,25,124,0,0,1,0,3, 7.75 ,0.00,0.00,58.90
AS Mehmi (),2019-2019,2019,2019,0,3,2,1,31,21*,21,1,31,29,106.89,0,0,0,2,1, 10.33 ,0.00,0.00,61.36
RG Mukasa (UGA),2019-2019,2019,2019,0,4,4,0,31,14,14,0,7.75,40,77.5,0,0,0,1,0, 7.75 ,0.00,0.00,35.65
PA Nixon (ENG),2007-2007,2007,2007,0,1,1,1,31,31*,31,1,-,22,140.9,0,0,0,2,1, 31.00 ,0.00,0.00,#VALUE!
H Osinde (CAN),2008-2013,2008,2013,5,11,6,2,31,17,17,0,7.75,34,91.17,0,0,0,1,2, 2.82 ,0.00,0.00,41.12
VS Padhaal (Fin),2019-2019,2019,2019,0,5,5,0,31,14,14,0,6.2,44,70.45,0,0,0,4,0, 6.20 ,0.00,0.00,31.90
D Sheeli (KUW),2019-2019,2019,2019,0,3,3,0,31,19,19,0,10.33,32,96.87,0,0,0,3,0, 10.33 ,0.00,0.00,44.95
ACF Stokes (GUE),2019-2019,2019,2019,0,7,5,0,31,16,16,0,6.2,26,119.23,0,0,3,6,0, 4.43 ,0.00,0.00,51.41
Tafseer Ali (NOR),2019-2019,2019,2019,0,5,4,1,31,19,19,0,10.33,53,58.49,0,0,0,1,0, 6.20 ,0.00,0.00,29.59
Zubaidi Zulkifle (MAL),2019-2019,2019,2019,0,4,4,0,31,22,22,0,7.75,29,106.89,0,0,1,2,2, 7.75 ,0.00,0.00,47.41
D Cato (Caym),2019-2019,2019,2019,0,3,3,0,30,20,20,0,10,59,50.84,0,0,0,2,0, 10.00 ,0.00,0.00,26.34
WW Hinds (WI),2006-2010,2006,2010,4,5,5,1,30,14,14,0,7.5,41,73.17,0,0,1,3,0, 6.00 ,0.00,0.00,33.77
LC Le Tissier (GUE),2019-2019,2019,2019,0,9,7,2,30,9,9,0,6,29,103.44,0,0,0,2,0, 3.33 ,0.00,0.00,44.98
Mian Mehmood (PORT),2019-2019,2019,2019,0,4,4,0,29,13,13,0,7.25,41,70.73,0,0,1,1,1, 7.25 ,0.00,0.00,32.64
SH Obed (VAN),2019-2019,2019,2019,0,12,7,2,29,9,9,0,5.8,41,70.73,0,0,0,1,0, 2.42 ,0.00,0.00,31.77
S Rossi (Arg),2019-2019,2019,2019,0,5,4,1,29,13,13,0,9.66,27,107.4,0,0,0,2,1, 5.80 ,0.00,0.00,48.76
J Salazar (Peru),2019-2019,2019,2019,0,2,2,1,29,20*,20,1,29,36,80.55,0,0,0,0,0, 14.50 ,0.00,0.00,49.62
Taskin Ahmed (BDESH),2014-2018,2014,2018,4,19,6,3,29,15*,15,1,9.66,31,93.54,0,0,1,3,1, 1.53 ,0.00,0.00,43.21
DT Tiripano (ZIM),2016-2019,2016,2019,3,10,6,2,29,14,14,0,7.25,34,85.29,0,0,2,0,2, 2.90 ,0.00,0.00,38.47
C Zavoiu (ROM),2019-2019,2019,2019,0,3,2,0,29,27,27,0,14.5,39,74.35,0,0,0,3,0, 9.67 ,0.00,0.00,38.44
Ahsan Malik (NL),2012-2017,2012,2017,5,31,8,5,28,11*,11,1,9.33,30,93.33,0,0,1,1,1, 0.90 ,0.00,0.00,42.93
KK Ahuja (Mex),2019-2019,2019,2019,0,8,7,0,28,8,8,0,4,50,56,0,0,1,1,1, 3.50 ,0.00,0.00,24.80
Amjad Khan (UAE),2015-2016,2015,2016,1,4,3,0,28,24,24,0,9.33,30,93.33,0,0,0,3,1, 7.00 ,0.00,0.00,42.93
EJB Miles (JER),2019-2019,2019,2019,0,14,4,2,28,16,16,0,14,31,90.32,0,0,0,1,0, 2.00 ,0.00,0.00,44.53
A Nehra (INDIA),2009-2017,2009,2017,8,27,5,0,28,22,22,0,5.6,39,71.79,0,0,3,1,2, 1.04 ,0.00,0.00,32.08
PJ Ongondo (KENYA),2007-2008,2007,2008,1,8,6,0,28,16,16,0,4.66,23,121.73,0,0,2,1,2, 3.50 ,0.00,0.00,51.49
CW Perchard (JER),2019-2019,2019,2019,0,15,5,2,28,12,12,0,9.33,35,80,0,0,0,0,0, 1.87 ,0.00,0.00,37.60
R Pillai (GER),2019-2019,2019,2019,0,6,5,1,28,14,14,0,7,44,63.63,0,0,1,1,0, 4.67 ,0.00,0.00,29.65
Sharafuddin Ashraf (AFG),2015-2019,2015,2019,4,8,4,1,28,18,18,0,9.33,29,96.55,0,0,0,1,1, 3.50 ,0.00,0.00,44.22
Ahmed Wardak (GER),2019-2019,2019,2019,0,9,4,2,27,20*,20,1,13.5,38,71.05,0,0,0,1,0, 3.00 ,0.00,0.00,36.52
TP Allen (USA),2019-2019,2019,2019,0,5,3,1,27,11*,11,1,13.5,17,158.82,0,0,0,0,3, 5.40 ,0.00,0.00,71.63
G Bakiweyem (Ghana),2019-2019,2019,2019,0,3,2,1,27,15*,15,1,27,30,90,0,0,0,0,0, 9.00 ,0.00,0.00,52.20
TC Barker (LUX),2019-2019,2019,2019,0,4,4,0,27,18,18,0,6.75,33,81.81,0,0,0,1,0, 6.75 ,0.00,0.00,36.77
NE Bonner (WI),2011-2012,2011,2012,1,2,2,0,27,24,24,0,13.5,38,71.05,0,0,0,2,0, 13.50 ,0.00,0.00,36.52
DT Christian (AUS),2010-2017,2010,2017,7,16,7,3,27,9,9,0,6.75,28,96.42,0,0,1,2,0, 1.69 ,0.00,0.00,42.62
RM Dorji (BHU),2019-2019,2019,2019,0,1,1,0,27,27,27,0,27,23,117.39,0,0,0,0,4, 27.00 ,0.00,0.00,63.16
H Fennell (Arg),2019-2019,2019,2019,0,5,5,2,27,25*,25,1,9,23,117.39,0,0,3,4,1, 5.40 ,0.00,0.00,52.36
S Hongsi (THAI),2019-2019,2019,2019,0,3,3,3,27,11*,11,1,-,16,168.75,0,0,0,3,1, 9.00 ,0.00,0.00,#VALUE!
Mohammad Iqbal (CAN),2008-2008,2008,2008,0,3,3,0,27,22,22,0,9,39,69.23,0,0,0,1,0, 9.00 ,0.00,0.00,33.09
Nadif Chowdhury (BDESH),2006-2007,2006,2007,1,3,3,0,27,12,12,0,9,23,117.39,0,0,0,2,0, 9.00 ,0.00,0.00,52.36
SS Pathirana (SL),2016-2017,2016,2017,1,5,5,0,27,14,14,0,5.4,24,112.5,0,0,0,3,0, 5.40 ,0.00,0.00,48.24
Shapoor Zadran (AFG),2010-2018,2010,2018,8,34,13,6,27,13,13,0,3.85,65,41.53,0,0,3,0,3, 0.79 ,0.00,0.00,18.92
Shoaib Qureshi (Fin),2019-2019,2019,2019,0,5,4,0,27,12,12,0,6.75,34,79.41,0,0,1,2,0, 5.40 ,0.00,0.00,35.81
MP Vaughan (ENG),2005-2007,2005,2007,2,2,2,0,27,27,27,0,13.5,22,122.72,0,0,1,4,0, 13.50 ,0.00,0.00,57.19
Waqas Ali (Belg),2019-2019,2019,2019,0,2,2,0,27,14,14,0,13.5,31,87.09,0,0,0,0,2, 13.50 ,0.00,0.00,42.94
Zulfiqar Babar (PAK),2013-2014,2013,2014,1,7,3,3,27,13*,13,1,-,27,100,0,0,0,2,1, 3.86 ,0.00,0.00,#VALUE!
Arsalan Arif (Aut),2019-2019,2019,2019,0,2,1,1,26,26*,26,1,-,11,236.36,0,0,0,5,0, 13.00 ,0.00,0.00,#VALUE!
TB de Bruyn (SA),2017-2017,2017,2017,0,2,2,0,26,19,19,0,13,16,162.5,0,0,0,3,1, 13.00 ,0.00,0.00,72.80
D Ganga (WI),2006-2006,2006,2006,0,1,1,0,26,26,26,0,26,31,83.87,0,0,0,3,1, 26.00 ,0.00,0.00,49.15
R Goodwin (PHI),2019-2019,2019,2019,0,4,4,1,26,16*,16,1,8.66,36,72.22,0,0,1,1,0, 6.50 ,0.00,0.00,34.08
Izatullah Dawlatzai (AFG/GER),2012-2019,2012,2019,7,14,3,2,26,24*,24,1,26,16,162.5,0,0,0,2,2, 1.86 ,0.00,0.00,80.60
G Kansonkho (MWI),2019-2019,2019,2019,0,6,3,1,26,22,22,0,13,21,123.8,0,0,1,4,0, 4.33 ,0.00,0.00,57.32
TJ Murtagh (IRE),2012-2016,2012,2016,4,14,5,3,26,12*,12,1,13,25,104,0,0,0,0,1, 1.86 ,0.00,0.00,49.40
LN Oluoch (KENYA),2013-2019,2013,2019,6,10,6,3,26,7*,7,1,8.66,33,78.78,0,0,0,2,0, 2.60 ,0.00,0.00,36.71
E Otieno (KENYA),2012-2019,2012,2019,7,18,8,3,26,8,8,0,5.2,48,54.16,0,0,1,0,1, 1.44 ,0.00,0.00,24.78
TK Saha (Fin),2019-2019,2019,2019,0,4,4,3,26,18*,18,1,26,23,113.04,0,0,0,1,0, 6.50 ,0.00,0.00,60.82
Washington Sundar (INDIA),2017-2019,2017,2019,2,18,5,3,26,14*,14,1,13,12,216.66,0,0,1,1,3, 1.44 ,0.00,0.00,94.46
C Wright (Caym),2019-2019,2019,2019,0,6,5,2,26,16*,16,1,8.66,31,83.87,0,0,1,2,0, 4.33 ,0.00,0.00,38.74
P Agnihotri (NOR),2019-2019,2019,2019,0,2,2,0,25,19,19,0,12.5,36,69.44,0,0,0,2,0, 12.50 ,0.00,0.00,35.28
Asrar Ahmed (),2019-2019,2019,2019,0,3,1,0,25,25,25,0,25,27,92.59,0,0,0,2,0, 8.33 ,0.00,0.00,52.04
RA Bhatti (CAN),2012-2012,2012,2012,0,4,4,1,25,11*,11,1,8.33,37,67.56,0,0,1,1,0, 6.25 ,0.00,0.00,32.02
AM Ellis (NZ),2012-2013,2012,2013,1,5,5,2,25,16,16,0,8.33,21,119.04,0,0,0,1,1, 5.00 ,0.00,0.00,52.61
CRD Fernando (SL),2006-2016,2006,2016,10,18,7,2,25,21,21,0,5,27,92.59,0,0,2,4,0, 1.39 ,0.00,0.00,40.04
G Goudie (SCOT),2010-2013,2010,2013,3,9,6,2,25,9*,9,1,6.25,20,125,0,0,0,2,1, 2.78 ,0.00,0.00,53.75
T Jamtsho (BHU),2019-2019,2019,2019,0,2,2,1,25,19,19,0,25,27,92.59,0,0,0,1,1, 12.50 ,0.00,0.00,52.04
JH Kiani (PHI),2019-2019,2019,2019,0,4,3,1,25,13,13,0,12.5,36,69.44,0,0,0,2,0, 6.25 ,0.00,0.00,35.28
RK Kleinveldt (SA),2008-2013,2008,2013,5,6,3,2,25,22,22,0,25,10,250,0,0,0,1,3, 4.17 ,0.00,0.00,115.00
WP Masakadza (ZIM),2015-2019,2015,2019,4,12,6,3,25,6*,6,1,8.33,30,83.33,0,0,0,2,0, 2.08 ,0.00,0.00,38.33
G Murali (CRC),2019-2019,2019,2019,0,3,3,0,25,14,14,0,8.33,44,56.81,0,0,0,1,0, 8.33 ,0.00,0.00,27.72
PM Nevill (AUS),2016-2016,2016,2016,0,9,5,4,25,10*,10,1,25,11,227.27,0,0,0,1,2, 2.78 ,0.00,0.00,105.91
SA Okpe (NGA),2019-2019,2019,2019,0,8,6,1,25,12,12,0,5,46,54.34,0,0,0,1,0, 3.13 ,0.00,0.00,24.74
C Pengkumta (THAI),2019-2019,2019,2019,0,4,3,2,25,18,18,0,25,31,80.64,0,0,0,2,0, 6.25 ,0.00,0.00,47.26
Raza-ur-Rehman (CAN),2012-2013,2012,2013,1,5,4,0,25,10,10,0,6.25,29,86.2,0,0,0,3,0, 5.00 ,0.00,0.00,38.23
Shahbaz Badar (BAH),2019-2019,2019,2019,0,3,3,0,25,16,16,0,8.33,32,78.12,0,0,1,3,0, 8.33 ,0.00,0.00,36.25
Shahriar Nafees (BDESH),2006-2006,2006,2006,0,1,1,0,25,25,25,0,25,17,147.05,0,0,0,3,1, 25.00 ,0.00,0.00,73.82
Sidhant Singh (SGP),2019-2019,2019,2019,0,8,6,2,25,12,12,0,6.25,26,96.15,0,0,1,1,1, 3.13 ,0.00,0.00,42.21
A Srivastav (Chile),2019-2019,2019,2019,0,4,4,0,25,21,21,0,6.25,37,67.56,0,0,2,2,0, 6.25 ,0.00,0.00,30.77
Tahir Dar (BAH),2019-2019,2019,2019,0,4,2,0,25,15,15,0,12.5,25,100,0,0,0,1,2, 6.25 ,0.00,0.00,47.50
Vinod Kumar (ESP),2019-2019,2019,2019,0,3,3,1,25,17,17,0,12.5,30,83.33,0,0,0,3,0, 8.33 ,0.00,0.00,40.83
Adil Hanif (BAH),2019-2019,2019,2019,0,4,2,0,24,16,16,0,12,23,104.34,0,0,0,3,0, 6.00 ,0.00,0.00,48.94
Azyan Farhath (Mald),2019-2019,2019,2019,0,2,2,1,24,22*,22,1,24,22,109.09,0,0,0,2,0, 12.00 ,0.00,0.00,58.04
MO Bacarese (GIBR),2019-2019,2019,2019,0,3,2,0,24,13,13,0,12,37,64.86,0,0,0,0,1, 8.00 ,0.00,0.00,33.14
OO Bascome (BMUDA),2008-2019,2008,2019,11,3,3,0,24,16,16,0,8,29,82.75,0,0,0,3,0, 8.00 ,0.00,0.00,37.90
Bilal Tahir (KUW),2019-2019,2019,2019,0,4,4,0,24,13,13,0,6,21,114.28,0,0,1,1,1, 6.00 ,0.00,0.00,49.31
JW Dernbach (ENG),2011-2014,2011,2014,3,34,7,2,24,12,12,0,4.8,21,114.28,0,0,1,3,0, 0.71 ,0.00,0.00,48.59
Fareed Ahmad (AFG),2016-2019,2016,2019,3,14,1,1,24,24*,24,1,-,15,160,0,0,0,4,0, 1.71 ,0.00,0.00,#VALUE!
JN Gillespie (AUS),2005-2005,2005,2005,0,1,1,0,24,24,24,0,24,18,133.33,0,0,0,4,0, 24.00 ,0.00,0.00,67.73
B Ivanov (),2019-2019,2019,2019,0,3,3,1,24,14,14,0,12,55,43.63,0,0,0,1,0, 8.00 ,0.00,0.00,24.65
Jagjit Singh (Peru),2019-2019,2019,2019,0,4,4,0,24,12,12,0,6,30,80,0,0,0,1,0, 6.00 ,0.00,0.00,35.60
MJ McClenaghan (ICC/NZ),2012-2018,2012,2018,6,29,8,4,24,10,10,0,6,23,104.34,0,0,2,1,2, 0.83 ,0.00,0.00,45.34
Rameez Raja (2) (PAK),2011-2011,2011,2011,0,2,2,0,24,23,23,0,12,29,82.75,0,0,0,2,0, 12.00 ,0.00,0.00,40.30
B Regmi (NEPAL),2014-2019,2014,2019,5,18,11,4,24,11,11,0,3.42,56,42.85,0,0,1,2,0, 1.33 ,0.00,0.00,19.19
CP Schofield (ENG),2007-2007,2007,2007,0,4,4,3,24,9*,9,1,24,20,120,0,0,0,2,0, 6.00 ,0.00,0.00,62.40
KJ Abbott (SA),2013-2016,2013,2016,3,21,6,4,23,9*,9,1,11.5,20,115,0,0,0,2,0, 1.10 ,0.00,0.00,52.90
AB Barath (WI),2010-2011,2010,2011,1,2,2,0,23,15,15,0,11.5,39,58.97,0,0,0,3,0, 11.50 ,0.00,0.00,30.49
Bilawal Bhatti (PAK),2013-2015,2013,2015,2,9,4,2,23,13*,13,1,11.5,14,164.28,0,0,1,2,1, 2.56 ,0.00,0.00,72.61
DL Brangman (BMUDA),2019-2019,2019,2019,0,5,4,2,23,23*,23,1,11.5,25,92,0,0,2,2,1, 4.60 ,0.00,0.00,43.70
C Floyd (NL),2019-2019,2019,2019,0,2,2,1,23,21,21,0,23,23,100,0,0,0,2,1, 11.50 ,0.00,0.00,53.80
Habib Ahmadzai (Aut),2019-2019,2019,2019,0,5,3,2,23,15*,15,1,23,29,79.31,0,0,0,2,1, 4.60 ,0.00,0.00,45.52
Hardev Singh (Chile),2019-2019,2019,2019,0,3,3,0,23,17,17,0,7.66,48,47.91,0,0,0,1,0, 7.67 ,0.00,0.00,23.76
