Player,Span,Start_Year,End_Year,Career_Lenght,Mat,Inns,NO,Runs,HS,HS_Numeric,HS_NotOut,Ave,BF,SR,100,50,0,4s,6s, Runs_Per_Match ,Century_Rate,Fifty_Rate,Consistency_Score
AC Gilchrist (AUS),2005-2008,2005,2008,3,13,13,1,272,48,48,0,22.66,192,141.66,0,0,0,27,13, 20.92 ,0.00,0.00,70.26
Amjad Javed (UAE),2014-2017,2014,2017,3,22,18,3,271,76,76,0,18.06,242,111.98,0,1,1,17,15, 12.32 ,0.00,4.55,55.63
MV Boucher (SA),2005-2010,2005,2010,5,25,21,6,268,36*,36,1,17.86,275,97.45,0,0,0,22,2, 10.72 ,0.00,0.00,49.70
Ravinderpal Singh (CAN),2019-2019,2019,2019,0,12,10,2,266,101,101,0,33.25,177,150.28,1,1,1,13,19, 22.17 ,8.33,8.33,80.06
PK Matautaava (VAN),2019-2019,2019,2019,0,10,10,0,265,103,103,0,26.5,156,169.87,1,1,2,19,20, 26.50 ,10.00,10.00,83.85
SR Taylor (USA),2019-2019,2019,2019,0,8,8,1,265,72,72,0,37.85,207,128.01,0,2,1,28,10, 33.13 ,0.00,25.00,73.91
MJ Santner (NZ),2015-2019,2015,2019,4,39,27,10,263,37,37,0,15.47,205,128.29,0,0,3,22,7, 6.74 ,0.00,0.00,60.60
Imad Wasim (PAK),2015-2019,2015,2019,4,41,29,9,261,47,47,0,13.05,180,145,0,0,6,28,7, 6.37 ,0.00,0.00,65.83
DMW Rawlins (BMUDA),2019-2019,2019,2019,0,11,11,0,261,63,63,0,23.72,201,129.85,0,1,1,23,15, 23.73 ,0.00,9.09,66.17
Adnan Idrees (KUW),2019-2019,2019,2019,0,6,6,0,259,80,80,0,43.16,157,164.96,0,3,0,35,9, 43.17 ,0.00,50.00,91.88
T Taibu (ZIM),2007-2012,2007,2012,5,17,15,6,259,45*,45,1,28.77,257,100.77,0,0,2,19,2, 15.24 ,0.00,0.00,57.57
Adnan Ilyas (OMAN),2015-2016,2015,2016,1,12,11,0,258,54,54,0,23.45,218,118.34,0,1,0,16,8, 21.50 ,0.00,8.33,61.41
Najeeb Tarakai (AFG),2014-2019,2014,2019,5,12,12,0,258,90,90,0,21.5,210,122.85,0,1,1,21,13, 21.50 ,0.00,8.33,62.04
DM de Silva (SL),2015-2019,2015,2019,4,13,13,0,257,62,62,0,19.76,252,101.98,0,1,0,18,4, 19.77 ,0.00,7.69,52.65
Manpreet Singh (SGP),2019-2019,2019,2019,0,12,12,1,255,42,42,0,23.18,222,114.86,0,0,0,15,5, 21.25 ,0.00,0.00,59.85
SE Marsh (AUS),2008-2016,2008,2016,8,15,15,1,255,47*,47,1,18.21,248,102.82,0,0,2,15,10, 17.00 ,0.00,0.00,52.05
RP Burl (ZIM),2018-2019,2018,2019,1,16,13,3,254,57*,57,1,25.4,221,114.93,0,1,0,16,10, 15.88 ,0.00,6.25,61.21
HE van der Dussen (SA),2018-2019,2018,2019,1,9,8,0,254,64,64,0,31.75,192,132.29,0,2,1,14,12, 28.22 ,0.00,22.22,71.97
Waqas Barkat (HKG),2014-2019,2014,2019,5,22,20,2,254,37,37,0,14.11,286,88.81,0,0,2,20,0, 11.55 ,0.00,0.00,43.99
SF Mire (ZIM),2018-2019,2018,2019,1,9,8,0,253,94,94,0,31.62,196,129.08,0,2,0,23,13, 28.11 ,0.00,22.22,70.60
GH Dockrell (IRE),2010-2019,2010,2019,9,73,33,14,251,34*,34,1,13.21,207,121.25,0,0,4,14,7, 3.44 ,0.00,0.00,56.43
DT Johnston (IRE),2008-2013,2008,2013,5,30,19,7,249,62,62,0,20.75,184,135.32,0,1,1,13,11, 8.30 ,0.00,3.33,66.58
RV Uthappa (INDIA),2007-2015,2007,2015,8,13,12,2,249,50,50,0,24.9,211,118,0,1,1,26,6, 19.15 ,0.00,7.69,62.14
CG Williams (NAM),2019-2019,2019,2019,0,13,12,3,249,68*,68,1,27.66,210,118.57,0,1,1,15,10, 19.15 ,0.00,7.69,64.02
JP Kotze (NAM),2019-2019,2019,2019,0,12,12,1,245,101*,101,1,22.27,193,126.94,1,0,1,21,13, 20.42 ,8.33,0.00,64.14
Mohamed Rishwan (Mald),2019-2019,2019,2019,0,11,10,0,245,67,67,0,24.5,245,100,0,2,0,22,10, 22.27 ,0.00,18.18,54.70
CN Ackermann (NL),2019-2019,2019,2019,0,11,11,3,243,43*,43,1,30.37,196,123.97,0,0,0,18,5, 22.09 ,0.00,0.00,67.81
Muhammad Kashif (KUW),2019-2019,2019,2019,0,10,9,4,242,53,53,0,48.4,215,112.55,0,2,0,14,13, 24.20 ,0.00,20.00,74.06
UT Khawaja (AUS),2016-2016,2016,2016,0,9,9,0,241,58,58,0,26.77,182,132.41,0,1,0,31,5, 26.78 ,0.00,11.11,69.03
MA Leask (SCOT),2013-2019,2013,2019,6,31,22,2,240,58,58,0,12,199,120.6,0,1,2,16,12, 7.74 ,0.00,3.23,55.44
SW Poynter (IRE),2015-2019,2015,2019,4,25,21,6,240,39,39,0,16,213,112.67,0,0,0,22,6, 9.60 ,0.00,0.00,54.67
Aizaz Khan (HKG),2014-2019,2014,2019,5,30,27,7,239,31,31,0,11.95,234,102.13,0,0,4,19,4, 7.97 ,0.00,0.00,48.02
MS Wade (AUS),2011-2016,2011,2016,5,26,17,5,239,72,72,0,19.91,218,109.63,0,1,0,11,9, 9.19 ,0.00,3.85,55.80
Ashfaq Ahmed (UAE),2018-2019,2018,2019,1,12,12,0,238,75,75,0,19.83,185,128.64,0,3,2,32,6, 19.83 ,0.00,25.00,63.35
SD Hope (WI),2017-2019,2017,2019,2,13,11,0,238,55,55,0,21.63,175,136,0,2,1,24,10, 18.31 ,0.00,15.38,67.38
J Mubarak (SL),2007-2009,2007,2009,2,16,15,4,238,46*,46,1,21.63,188,126.59,0,0,2,21,8, 14.88 ,0.00,0.00,63.61
Khalid Latif (PAK),2008-2016,2008,2016,8,13,13,2,237,59*,59,1,21.54,229,103.49,0,1,1,25,6, 18.23 ,0.00,7.69,54.32
RE Levi (SA),2012-2012,2012,2012,0,13,13,2,236,117*,117,1,21.45,167,141.31,1,1,3,20,15, 18.15 ,7.69,7.69,69.39
YK Pathan (INDIA),2007-2012,2007,2012,5,22,18,5,236,37*,37,1,18.15,161,146.58,0,0,3,11,17, 10.73 ,0.00,0.00,69.52
MM Ali (ENG),2014-2018,2014,2018,4,25,22,6,235,72*,72,1,14.68,198,118.68,0,1,6,21,9, 9.40 ,0.00,4.00,56.28
F Damiao Couana (Moz),2019-2019,2019,2019,0,7,7,1,233,71*,71,1,38.83,179,130.16,0,1,0,16,14, 33.29 ,0.00,14.29,75.36
ES Szwarczynski (NL),2008-2013,2008,2013,5,14,12,1,233,45,45,0,21.18,243,95.88,0,0,0,22,2, 16.64 ,0.00,0.00,51.06
HT Tector (IRE),2019-2019,2019,2019,0,14,12,3,233,60,60,0,25.88,176,132.38,0,1,0,20,5, 16.64 ,0.00,7.14,68.48
BA Stokes (ENG),2011-2018,2011,2018,7,23,20,5,232,38,38,0,15.46,178,130.33,0,0,1,20,9, 10.09 ,0.00,0.00,61.41
H Gori (CZK-R),2019-2019,2019,2019,0,7,7,0,231,66,66,0,33,176,131.25,0,1,0,23,12, 33.00 ,0.00,14.29,72.30
JF Mooney (IRE),2009-2015,2009,2015,6,27,23,9,231,31*,31,1,16.5,214,107.94,0,0,0,25,1, 8.56 ,0.00,0.00,53.08
AR Cusack (IRE),2008-2015,2008,2015,7,37,21,6,229,65,65,0,15.26,177,129.37,0,1,1,17,6, 6.19 ,0.00,2.70,60.90
Mohammed Rizlan (QAT),2019-2019,2019,2019,0,15,12,5,229,38*,38,1,32.71,218,105.04,0,0,0,14,10, 15.27 ,0.00,0.00,61.64
Aftab Ahmed (BDESH),2006-2010,2006,2010,4,11,11,1,228,62*,62,1,22.8,178,128.08,0,1,0,26,6, 20.73 ,0.00,9.09,64.91
T Mishra (KENYA),2007-2013,2007,2013,6,15,15,0,227,38,38,0,15.13,263,86.31,0,0,2,15,4, 15.13 ,0.00,0.00,43.60
Rahmanullah Gurbaz (AFG),2019-2019,2019,2019,0,7,7,0,227,79,79,0,32.42,164,138.41,0,2,2,19,13, 32.43 ,0.00,28.57,74.82
C Bisson (JER),2019-2019,2019,2019,0,14,14,2,226,54,54,0,18.83,177,127.68,0,1,3,24,5, 16.14 ,0.00,7.14,62.37
SS Iyer (INDIA),2017-2019,2017,2019,2,14,13,3,226,62,62,0,22.6,178,126.96,0,1,1,18,9, 16.14 ,0.00,7.14,64.34
I Udana (SL),2009-2019,2009,2019,10,27,19,9,226,84*,84,1,22.6,152,148.68,0,1,2,15,13, 8.37 ,0.00,3.70,73.03
DAS Gunaratne (SL),2016-2017,2016,2017,1,12,12,3,225,84*,84,1,25,178,126.4,0,2,2,19,6, 18.75 ,0.00,16.67,65.56
Inam-ul-Haq (QAT),2019-2019,2019,2019,0,11,11,2,225,73*,73,1,25,205,109.75,0,1,1,28,2, 20.45 ,0.00,9.09,58.90
GSNFG Jayasuriya (SL),2015-2019,2015,2019,4,16,14,0,225,40,40,0,16.07,203,110.83,0,0,0,17,8, 14.06 ,0.00,0.00,53.97
Shafiq Sharif (MAL),2019-2019,2019,2019,0,10,10,0,225,53,53,0,22.5,171,131.57,0,1,2,32,5, 22.50 ,0.00,10.00,66.13
MN van Wyk (SA),2007-2015,2007,2015,8,8,7,1,225,114*,114,1,37.5,157,143.31,1,1,0,19,14, 28.13 ,12.50,12.50,79.82
CAK Walton (WI),2014-2018,2014,2018,4,19,17,0,225,40,40,0,13.23,203,110.83,0,0,5,23,11, 11.84 ,0.00,0.00,52.27
DG Blampied (JER),2019-2019,2019,2019,0,17,15,6,221,43*,43,1,24.55,222,99.54,0,0,1,14,0, 13.00 ,0.00,0.00,54.55
Sohaib Maqsood (PAK),2013-2016,2013,2016,3,20,18,2,221,37,37,0,13.81,201,109.95,0,0,2,15,8, 11.05 ,0.00,0.00,52.27
H Patel (CAN),2010-2013,2010,2013,3,11,11,1,220,88*,88,1,22,218,100.91,0,1,2,19,2, 20.00 ,0.00,9.09,53.56
TG Southee (NZ),2008-2019,2008,2019,11,66,30,12,220,39,39,0,12.22,150,146.66,0,0,4,14,15, 3.33 ,0.00,0.00,66.00
AD Poynter (IRE),2012-2016,2012,2016,4,19,14,3,219,57,57,0,19.9,184,119.02,0,1,1,21,8, 11.53 ,0.00,5.26,59.55
Tanwir Afzal (HKG),2014-2016,2014,2016,2,21,18,2,219,56,56,0,13.68,173,126.58,0,1,4,9,15, 10.43 ,0.00,4.76,58.84
TT Bresnan (ENG),2006-2014,2006,2014,8,34,22,9,216,47*,47,1,16.61,170,127.05,0,0,3,16,6, 6.35 ,0.00,0.00,60.79
CJ Jordan (ENG),2014-2019,2014,2019,5,43,25,11,216,36,36,0,15.42,166,130.12,0,0,2,16,11, 5.02 ,0.00,0.00,61.30
